Instance,BestNearest,Farthest_First,KMEANS
p1,10.8957,10.528,10.4627
p2,10.8957,10.528,10.4627
p3,21.0648,20.4631,19.6143
p4,37.6328,38.9198,38.8842
p5,43.4394,35.6181,42.9779
p6,24.3943,28.1002,24.7228
p7,35.7707,27.155,36.1394
p8,109.1412,107.1938,102.7766
p9,53.4529,50.4808,52.5212
p10,62.228,49.2448,60.7881
p11,69.918,68.3472,70.6153
p12,10.909,143.5763,10.909
p15,21.8181,21.8181,21.8181
p18,32.7272,32.7272,35.824
p21,49.0909,52.9545,53.736
pr1,24.9588,16.0986,20.3665
pr2,57.679,38.6321,45.3651
pr3,41.9644,31.4078,31.6998
pr4,51.5513,61.4169,52.0844
pr5,209.8328,121.4282,155.9
pr6,111.7745,68.9263,84.5283
pr7,29.2127,28.252,42.4651
pr8,70.1778,85.2387,57.9659
pr9,103.9025,89.1405,110.5701
pr10,395.6679,135.954,300.9296
