Instance,BestNearest,Farthest_First,KMEANS
p1,2350.7206,2103.5138,2186.0579
p2,2350.7206,2103.5138,2186.0579
p3,2270.5307,2205.3253,2195.0907
p4,21354.2994,21663.0515,21652.7087
p5,22608.0525,20939.1595,22467.1995
p6,9032.0174,9750.1608,8985.1101
p7,5889.1996,5037.9208,5647.9426
p8,507819.2825,503852.3918,497261.7518
p9,204377.0943,196607.4985,201852.8061
p10,126178.3286,98428.7305,120428.6643
p11,75557.2438,68843.7595,74456.9921
p12,66000.0,165400.0,66000.0
p15,66000.0,66000.0,66000.0
p18,66000.0,66000.0,66838.6345
p21,66000.0,66314.9094,66838.6345
pr1,8978.8337,10688.0985,8722.4176
pr2,24674.9976,18870.4091,21457.269
pr3,37030.2322,35601.795,35324.281
pr4,44423.7774,46280.2451,43724.8785
pr5,70129.8207,52554.9591,55423.1293
pr6,67270.6863,57286.409,61193.6906
pr7,8470.4173,6958.7168,8552.2396
pr8,18208.6317,17578.0799,15886.187
pr9,23382.655,23406.6294,23358.7971
pr10,57478.2069,39992.1695,56237.3105
