Instance,BestNearest,Farthest_First,KMEANS
p1,2.7239,2.632,2.6156
p2,2.7239,2.632,2.6156
p3,4.2129,4.0926,3.9228
p4,18.8164,19.4599,19.4421
p5,21.7197,17.809,21.4889
p6,8.1314,9.3667,8.2409
p7,8.9426,6.7887,9.0348
p8,54.5706,53.5969,51.3883
p9,17.8176,16.8269,17.507
p10,15.557,12.3112,15.197
p11,13.9836,13.6694,14.123
p12,5.4545,71.7881,5.4545
p15,5.4545,5.4545,5.4545
p18,5.4545,5.4545,5.9706
p21,5.4545,5.8838,5.9706
pr1,6.2397,4.0246,5.0916
pr2,14.4197,9.658,11.3412
pr3,10.4911,7.8519,7.9249
pr4,12.8878,15.3542,13.0211
pr5,52.4582,30.357,38.975
pr6,27.9436,17.2315,21.132
pr7,4.8687,4.7086,7.0775
pr8,11.6963,14.2064,9.6609
pr9,17.317,14.8567,18.4283
pr10,65.9446,22.659,50.1549
