Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,14.4482,12.2807,13.1171,12.5891,17.4953,12.1015,12.362,12.2807,13.9723,0.6568,12.2807,22.4684,19.9683,22.0808,12.2807,12.2807,12.1031,12.0263
p2,14.4482,12.2807,12.8766,12.5891,17.4953,12.1015,12.362,12.2807,13.9723,0.6568,12.2807,22.4234,19.6734,22.0808,12.2807,12.2807,12.1031,12.0263
p3,15.6974,10.9528,11.7559,11.3734,16.1574,11.0364,11.0741,10.9528,13.2418,0.5926,10.9528,23.2425,19.688,19.4317,10.9528,10.9528,11.4524,10.854
p4,20.4901,18.9608,20.5259,18.9954,22.3839,18.7645,18.7708,18.9608,19.0218,0.9255,18.9608,24.7539,23.0755,25.041,18.9608,18.9608,18.78,19.4927
p5,19.5165,19.1808,19.2838,19.9155,20.1831,18.6528,19.0293,19.1808,19.2453,0.948,19.1808,24.7749,21.7221,21.9645,19.1808,19.1808,19.4201,18.4353
p6,19.524,14.3895,16.2301,16.1101,20.434,15.6273,14.5208,14.3895,15.7648,0.7437,14.3895,24.6111,20.5796,20.789,14.3895,14.3895,16.1812,14.7646
p7,17.9151,13.7595,14.988,16.9112,16.0095,12.3948,13.2679,13.8305,14.3181,0.7054,13.8305,24.5266,19.5701,18.7244,13.7595,13.7758,13.3648,12.6995
p8,59.6025,57.7234,59.6343,58.6813,68.1398,58.5393,57.4516,57.7234,57.8045,2.985,57.7234,75.0278,65.2447,60.1145,57.7234,57.7234,58.0247,57.5121
p9,52.9813,44.8632,45.6548,50.2863,53.483,44.2953,44.4183,44.8632,46.8,2.62,44.8632,74.8444,53.6416,65.0767,44.8632,44.8632,45.8564,45.0422
p10,48.0093,40.8478,40.6217,40.7684,51.1272,37.1562,40.1361,40.8478,41.4493,1.9623,40.8478,74.5031,53.6922,67.0063,40.8478,40.8478,37.7062,40.9195
p11,42.7875,35.9331,39.1738,47.1569,49.3859,33.0599,35.6232,35.4617,38.9484,1.7924,35.4617,74.3764,50.5181,64.408,35.4359,35.5201,33.0544,33.5947
p12,37.9231,36.2132,41.312,62.6151,45.2328,58.5344,36.2132,36.2132,36.2132,1.8154,36.2132,62.8166,56.5852,58.9282,36.2132,36.2132,36.2132,29.5644
p15,47.0568,36.2132,39.625,60.9208,53.2096,36.2132,36.2132,36.2132,36.2132,1.8229,36.2132,81.7308,66.8656,67.9034,36.2132,36.2132,36.2132,29.7228
p18,49.9394,36.2132,41.851,68.9979,62.8316,36.2132,36.3238,36.2132,36.2132,1.8231,36.2132,103.7545,69.0839,67.773,36.2132,36.2132,36.2132,29.4694
p21,51.2657,36.2132,48.2443,59.6392,73.1358,36.2952,36.3238,36.2132,36.2132,1.8575,36.2132,123.3074,74.6176,72.6093,36.2132,36.2132,36.2132,29.268
pr1,26.7002,22.3295,27.5623,23.8787,32.401,23.7203,22.0108,22.3295,29.8163,1.2051,22.3295,45.2572,36.0465,39.512,22.3295,22.3295,23.7036,21.499
pr2,27.0184,26.3883,28.1131,23.3879,38.4507,24.0073,24.0704,24.3722,27.855,1.3966,24.3722,42.8312,37.8796,37.2902,23.6605,23.514,24.5601,30.4148
pr3,29.5618,27.6872,31.864,29.2363,39.2938,27.4221,27.5342,27.6872,29.6546,1.8198,27.6872,54.7527,42.1098,52.3129,27.6872,27.6872,27.5224,28.2288
pr4,33.9568,26.2979,29.5312,33.4879,34.6665,27.9914,26.0893,26.2283,28.0929,1.5633,26.2283,48.5696,38.8623,38.0599,25.8871,25.8871,26.5864,25.2327
pr5,32.3422,27.257,30.3837,28.6832,32.5415,25.0559,25.449,25.7357,27.1591,1.8794,25.7357,41.4331,37.842,38.04,24.1986,24.3438,26.7425,27.329
pr6,37.0545,25.4883,29.7948,26.599,33.1373,24.2112,24.5994,24.7274,25.5608,1.7229,24.7274,48.2026,38.869,34.2233,23.9803,24.1722,24.0454,27.0392
pr7,26.373,20.6677,23.6158,27.0077,33.9608,20.2356,21.14,21.0533,28.8661,0.9933,21.0533,49.1,36.7573,34.12,19.8339,19.907,19.3068,20.8222
pr8,30.371,24.4521,27.9913,27.1208,38.6684,23.6006,23.2674,25.0149,25.135,1.5185,25.0149,50.3128,35.5675,29.1254,24.2469,24.1589,23.0515,24.0195
pr9,28.2976,21.7722,26.196,26.9201,34.6926,22.7272,21.9108,21.6654,25.12,1.2824,21.6654,51.8296,34.5838,34.1019,21.474,21.5521,21.8919,21.2924
pr10,39.581,28.8501,30.6459,31.104,35.7202,24.6075,28.6812,27.1097,29.0695,1.67,27.1097,49.1705,37.5492,39.8292,26.8808,24.6387,26.4406,29.7635
