Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,66.0184,146.9529,113.6898,124.4439,42.682,171.4308,162.6418,146.9529,92.2859,6.5658,146.9529,4.2233,31.796,20.5004,146.9529,146.9529,170.2508,162.7444
p2,66.0184,146.9529,118.4766,124.4439,42.682,171.4308,162.6418,146.9529,92.2859,6.5658,146.9529,4.016,36.2032,20.5004,146.9529,146.9529,170.2508,162.7444
p3,102.1771,303.3023,239.6349,245.7446,78.0225,314.8573,317.3869,303.3023,143.066,12.0823,303.3023,4.606,32.9547,34.3724,303.3023,303.3023,285.5389,309.0827
p4,70.6113,129.7367,83.213,119.1656,26.7537,125.0941,125.2489,129.7367,119.0495,6.5527,129.7367,2.1173,31.3324,6.4259,129.7367,129.7367,133.3809,99.3207
p5,115.8603,111.6726,103.0934,61.8178,72.5008,136.1947,113.6015,111.6726,103.3192,5.5748,111.6726,1.8351,46.7316,43.2462,111.6726,111.6726,116.8803,117.1055
p6,86.584,235.6385,166.9,136.2578,52.1278,207.566,237.6283,235.6385,177.6508,11.323,235.6385,2.8457,66.3115,61.7205,235.6385,235.6385,155.4498,234.5835
p7,88.1519,257.6733,187.1918,127.5426,146.3436,322.8422,277.5495,255.4746,201.736,10.7014,255.4746,3.3111,82.5072,98.6216,257.6733,256.3411,296.225,291.739
p8,231.6007,280.7363,248.0743,262.6719,63.3526,286.8359,297.1857,280.7363,277.9625,11.6983,280.7363,1.531,135.2876,240.9184,280.7363,280.7363,285.1307,304.4128
p9,254.8587,589.6036,512.8471,317.713,277.7261,627.4859,602.0308,589.6036,500.8689,15.6432,589.6036,2.3743,108.4776,142.2399,589.6036,589.6036,509.8617,575.686
p10,321.8083,704.2563,663.5393,590.287,310.9912,994.9001,765.2364,704.2563,644.6339,34.1827,704.2563,4.312,172.0146,205.8961,704.2563,704.2563,931.235,638.3848
p11,320.1184,980.9375,685.3212,400.282,304.1547,1106.3392,1000.7874,1054.1716,691.3655,45.2572,1054.1716,4.9169,205.0372,195.4188,1055.8231,1044.2345,1201.1631,1225.3442
p12,202.1076,286,211.7139,4.4072,116.8905,20.3724,286,286,286,14.0568,286,2.0174,34.7149,17.3341,286,286,286,428.0457
p15,140.5626,762.6666,562.1796,124.7642,209.5386,762.6666,762.6666,762.6666,762.6666,37.0511,762.6666,4.3907,91.2882,92.7389,762.6666,762.6666,762.6666,1103.3052
p18,596.7942,1887.5999,1244.6408,233.0453,386.5659,1887.5999,1860.3927,1887.5999,1887.5999,91.6604,1887.5999,6.1952,296.6626,394.2441,1887.5999,1887.5999,1887.5999,2740.3016
p21,1002.0409,3861,1833.921,1013.0236,493.1375,3840.7901,3807.6008,3861,3861,178.8703,3861,9.4218,557.9044,622.4582,3861,3861,3861,5577.3038
pr1,100.7536,149.1603,108.9028,113.8916,38.3244,115.9241,155.2699,149.1603,48.7863,6.7051,149.1603,4.0953,47.4852,41.096,149.1603,149.1603,157.2898,156.5078
pr2,145.2474,171.3703,172.0631,192.1249,17.312,261.8168,215.7391,224.13,106.9002,6.1488,224.13,4.0913,55.3477,91.4475,229.4877,240.5301,198.6235,117.0381
pr3,364.2367,500.5367,371.482,429.6747,178.1455,528.1091,533.8635,500.5367,317.2924,14.3925,500.5367,4.9468,113.5604,70.3823,500.5367,500.5367,536.229,459.8365
pr4,201.3577,540.5967,373.5087,266.7676,175.5301,508.8563,553.4177,484.7926,370.5153,15.9731,484.7926,4.4303,137.0661,116.9737,529.4553,529.4553,539.7392,519.8394
pr5,141.9078,302.1844,256.0398,351.9125,128.9855,508.465,485.7074,444.1537,300.0404,5.6244,444.1537,4.2399,95.9095,58.2474,526.6756,518.4852,662.0672,325.7494
pr6,218.3463,788.6709,526.0284,697.2971,278.2797,992.1226,913.8234,864.8259,736.9315,17.8539,864.8259,3.9799,217.1973,376.6127,973.6546,950.2184,980.3224,711.1241
pr7,186.7551,276.0064,233.3251,181.7959,66.8898,353.1709,272.6212,280.9331,99.5161,16.0846,280.9331,6.188,69.4042,82.4465,368.5487,362.3984,423.2349,299.4748
pr8,292.9749,525.291,336.7753,395.6703,69.6412,550.0743,626.2943,505.252,439.1718,15.3458,505.252,5.8996,184.4343,192.6243,509.753,544.8392,655.1979,508.3829
pr9,475.371,1028.7048,641.8597,437.6157,274.9401,1027.393,1030.5905,1051.7382,494.9532,38.5662,1051.7382,6.0909,235.6386,281.655,1076.4395,1059.6649,1091.2238,1054.8159
pr10,183.7961,518.3637,443.4016,459.2839,260.1229,892.9721,539.1916,666.2991,354.2193,17.9459,666.2991,5.0852,243.5535,179.4454,689.4714,911.6934,810.2999,372.2172
