Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,0.0875,0.3067,0.2463,0.2741,0.0256,0.3461,0.3235,0.3067,0.2189,0.013,0.3067,-0.0903,0.0995,0.0626,0.3067,0.3067,0.344,0.3339
p2,0.0875,0.3067,0.2478,0.2741,0.0256,0.3461,0.3235,0.3067,0.2189,0.013,0.3067,-0.0926,0.1074,0.0626,0.3067,0.3067,0.344,0.3339
p3,0.0671,0.305,0.2614,0.2425,0.0756,0.3381,0.3338,0.305,0.1921,0.0131,0.305,-0.096,-0.0108,0.0227,0.305,0.305,0.3343,0.314
p4,0.2552,0.3262,0.2508,0.3153,0.1255,0.3297,0.3293,0.3262,0.3088,0.0168,0.3262,0,0.1229,0.0485,0.3262,0.3262,0.3345,0.2912
p5,0.3132,0.305,0.289,0.2352,0.2301,0.3403,0.3086,0.305,0.2921,0.0154,0.305,-0.001,0.1717,0.169,0.305,0.305,0.3052,0.3092
p6,0.1186,0.3586,0.2826,0.2273,0.0877,0.3136,0.3602,0.3586,0.2954,0.0177,0.3586,-0.0355,0.1389,0.1455,0.3586,0.3586,0.302,0.3584
p7,0.0743,0.2604,0.2284,0.2027,0.1407,0.356,0.2973,0.2563,0.2152,0.0138,0.2563,-0.062,0.0989,0.1369,0.2604,0.2583,0.3035,0.2945
p8,0.2698,0.3062,0.2796,0.3004,0.1092,0.3018,0.3169,0.3062,0.3026,0.0137,0.3062,-4.00E-04,0.1698,0.2775,0.3062,0.3062,0.3035,0.3203
p9,0.2105,0.3554,0.3222,0.2163,0.2126,0.3723,0.3608,0.3554,0.324,0.0104,0.3554,-0.0203,0.021,0.1288,0.3554,0.3554,0.3436,0.3408
p10,0.1775,0.3039,0.2853,0.2495,0.1418,0.3806,0.319,0.3039,0.2833,0.0149,0.3039,-0.037,0.041,0.1635,0.3039,0.3039,0.3646,0.2714
p11,0.0738,0.2911,0.232,0.0989,0.0906,0.3447,0.296,0.3031,0.2318,0.0157,0.3031,-0.0531,0.0138,0.0232,0.3039,0.3026,0.354,0.344
p12,0.4296,0.5083,0.4218,0.0256,0.3107,0.1026,0.5083,0.5083,0.5083,0.0252,0.5083,0,0.1185,0.0793,0.5083,0.5083,0.5083,0.5937
p15,0.0682,0.4464,0.358,0.0226,0.182,0.4464,0.4464,0.4464,0.4464,0.0218,0.4464,-0.0473,0.0655,0.0451,0.4464,0.4464,0.4464,0.5446
p18,0.0991,0.4288,0.3049,0.025,0.0744,0.4288,0.4212,0.4288,0.4288,0.0208,0.4288,-0.0718,0.0267,0.0818,0.4288,0.4288,0.4288,0.5345
p21,0.0632,0.4145,0.214,0.0538,0.0275,0.4108,0.4063,0.4145,0.4145,0.0193,0.4145,-0.0821,0.0152,-0.0144,0.4145,0.4145,0.4145,0.525
pr1,0.204,0.3269,0.2449,0.2738,0.079,0.3097,0.2953,0.3269,0.1129,0.0136,0.3269,-0.0886,0.1452,0.1542,0.3269,0.3269,0.3042,0.2825
pr2,0.1977,0.2613,0.2269,0.2424,-0.0391,0.2991,0.291,0.2813,0.1685,0.0096,0.2813,-0.0804,0.075,0.1694,0.2767,0.2903,0.2661,0.2031
pr3,0.2969,0.3625,0.2848,0.3467,0.0742,0.3909,0.3973,0.3625,0.3112,0.0143,0.3625,-0.0591,0.0664,0.0339,0.3625,0.3625,0.399,0.3278
pr4,0.0767,0.3264,0.234,0.1733,0.0937,0.3136,0.3341,0.2923,0.2553,0.0117,0.2923,-0.0481,0.0693,0.0588,0.312,0.312,0.3059,0.2921
pr5,0.0539,0.2613,0.1721,0.2252,0.0569,0.2504,0.2729,0.2025,0.1969,0.0041,0.2025,-0.0462,0.0166,-0.0111,0.2319,0.2047,0.3845,0.1844
pr6,0.0861,0.3267,0.2252,0.2966,0.1206,0.3615,0.3461,0.3212,0.3084,0.009,0.3212,-0.0395,0.069,0.1576,0.3536,0.3471,0.3636,0.2614
pr7,0.1922,0.3218,0.2426,0.3023,0.0217,0.3381,0.2854,0.2885,0.1279,0.0168,0.2885,-0.1312,0.0592,0.0767,0.356,0.3554,0.4009,0.3391
pr8,0.1273,0.2462,0.1619,0.2023,-0.0279,0.2525,0.2786,0.2102,0.1987,0.01,0.2102,-0.0882,0.0739,0.1265,0.2395,0.2496,0.33,0.2449
pr9,0.0755,0.2837,0.1729,0.0907,0.0437,0.2812,0.2879,0.2816,0.1846,0.0111,0.2816,-0.0835,0.0401,0.0897,0.2952,0.2914,0.3056,0.2831
pr10,-0.0583,0.191,0.1306,0.138,-0.0227,0.2284,0.1809,0.1516,0.1201,0.0067,0.1516,-0.0673,-0.0093,-0.0279,0.1782,0.2084,0.2199,0.1048
