Instance,SSE,BH
p1,3844.6476,14.4482
p2,3844.6476,14.4482
p3,4678.1,15.6974
p4,26089.9561,20.4901
p5,22304.4678,19.5165
p6,14832.7757,19.524
p7,10507.9216,17.9151
p8,542207.3552,59.6025
p9,314040.0428,52.9813
p10,200593.9229,48.0093
p11,155429.5776,42.7875
p12,81461.5384,37.9231
p15,183794.7916,47.0568
p18,163075.8089,49.9394
p21,201077.0617,51.2657
pr1,11705.1846,26.7002
pr2,27080.9226,27.0184
pr3,46191.9429,29.5618
pr4,77763.3099,33.9568
pr5,94748.2962,32.3422
pr6,131534.1397,37.0545
pr7,11312.9881,26.373
pr8,27433.2042,30.371
pr9,41170.5679,28.2976
pr10,94304.1083,39.581
p1,2350.7206,12.2807
p2,2350.7206,12.2807
p3,2270.5307,10.9528
p4,21354.2994,18.9608
p5,22608.0525,19.1808
p6,9032.0174,14.3895
p7,5889.1996,13.7595
p8,507819.2825,57.7234
p9,204377.0943,44.8632
p10,126178.3286,40.8478
p11,75557.2438,35.9331
p12,66000,36.2132
p15,66000,36.2132
p18,66000,36.2132
p21,66000,36.2132
pr1,8978.8337,22.3295
pr2,24674.9976,26.3883
pr3,37030.2322,27.6872
pr4,44423.7774,26.2979
pr5,70129.8207,27.257
pr6,67270.6863,25.4883
pr7,8470.4173,20.6677
pr8,18208.6317,24.4521
pr9,23382.655,21.7722
pr10,57478.2069,28.8501
p1,2856.3979,13.1171
p2,2777.1625,12.8766
p3,2737.2308,11.7559
p4,25404.5219,20.5259
p5,23388.7375,19.2838
p6,11353.7592,16.2301
p7,7423.8785,14.988
p8,533120.0613,59.6343
p9,223232.834,45.6548
p10,134382.8412,40.6217
p11,101233.6017,39.1738
p12,88742.7391,41.312
p15,86394.075,39.625
p18,97284.9936,41.851
p21,137136.776,48.2443
pr1,11744.1312,27.5623
pr2,25138.2366,28.1131
pr3,48248.3451,31.864
pr4,58198.2243,29.5312
pr5,78064.1132,30.3837
pr6,90142.3023,29.7948
pr7,10037.7713,23.6158
pr8,25947.178,27.9913
pr9,34281.9165,26.196
pr10,64937.8188,30.6459
p1,2635.536,12.5891
p2,2635.536,12.5891
p3,2662.6952,11.3734
p4,22070.5496,18.9954
p5,26979.8167,19.9155
p6,12217.7627,16.1101
p7,8888.1729,16.9112
p8,519942.7122,58.6813
p9,285296.2004,50.2863
p10,141861.1786,40.7684
p11,137763.1757,47.1569
p12,181862.1553,62.6151
p15,192520.6644,60.9208
p18,341038.5397,68.9979
p21,199508.4995,59.6392
pr1,10813.9916,23.8787
pr2,23048.1443,23.3879
pr3,41287.671,29.2363
pr4,67933.0875,33.4879
pr5,64897.9968,28.6832
pr6,72983.4948,26.599
pr7,11527.945,27.0077
pr8,22413.7631,27.1208
pr9,43424.5859,26.9201
pr10,61735.2844,31.104
p1,4707.2147,17.4953
p2,4707.2147,17.4953
p3,5360.7733,16.1574
p4,31226.76,22.3839
p5,25906.3599,20.1831
p6,17418.8526,20.434
p7,8279.0599,16.0095
p8,705883.5354,68.1398
p9,302935.9598,53.483
