Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,43.9039,10.8957,21.0822,19.2452,505.8946,10.528,10.4627,10.8957,20.3008,0.8389,10.8957,12557.3976,246.1544,146.059,10.8957,10.8957,11.1495,10.6557
p2,43.9039,10.8957,19.4339,19.2452,505.8946,10.528,10.4627,10.8957,20.3008,0.8389,10.8957,13008.2997,174.639,146.059,10.8957,10.8957,11.1495,10.6557
p3,58.9119,21.0648,32.83,30.2616,110.9411,20.4631,19.6143,21.0648,59.1944,1.5016,21.0648,12740.7323,782.1296,202.3378,21.0648,21.0648,26.6488,21.6227
p4,67.1455,37.6328,547.4949,41.0534,183.1515,38.9198,38.8842,37.6328,41.1593,1.8574,37.6328,6893.8999,358.7934,747.5818,37.6328,37.6328,36.3695,49.8017
p5,38.9765,43.4394,47.761,67.8192,67.5854,35.6181,42.9779,43.4394,47.4258,2.1657,43.4394,4839.3307,90.9988,96.9434,43.4394,43.4394,41.6549,41.2807
p6,70.0258,24.3943,370.4127,64.9079,186.3442,28.1002,24.7228,24.3943,29.9105,1.1579,24.3943,21412.6087,251.8136,663.5595,24.3943,24.3943,42.4829,26.203
p7,116.4792,35.7707,163.1315,670.3359,68.7115,27.155,36.1394,36.4375,65.7025,2.3081,36.4375,21790.402,437.2805,292.1272,35.7707,36.2338,27.2682,41.9144
p8,132.6046,109.1412,129.2857,114.4869,485.3941,107.1938,102.7766,109.1412,110.63,6.4105,109.1412,171706.9796,392.1499,123.095,109.1412,109.1412,107.2225,100.2753
p9,212.3936,53.4529,65.6287,97.0385,124.3106,50.4808,52.5212,53.4529,63.2083,8.8088,53.4529,227049.5051,502.5592,1266.6448,53.4529,53.4529,65.354,56.0401
p10,146.054,62.228,99.6452,98.639,2310.8805,49.2448,60.7881,62.228,75.9021,4.862,62.228,102603.3593,3245.55,7846.3373,62.228,62.228,51.0556,96.1894
p11,463.3079,69.918,280.2235,660.4057,352.1556,68.3472,70.6153,66.1508,101.0389,4.6961,66.1508,725774.3764,1077.0844,528.7696,66.0705,66.638,79.5211,95.427
p12,14.0479,10.909,68.1239,706.1618,26.6916,143.5763,10.909,10.909,10.909,0.5535,10.909,9204.0322,135.3147,175.9419,10.909,10.909,10.909,7.2878
p15,205.8658,21.8181,45.0165,957.2572,186.5157,21.8181,21.8181,21.8181,21.8181,1.2164,21.8181,36221.7748,3402.0514,30879.5017,21.8181,21.8181,21.8181,15.7786
p18,302.4798,32.7272,122.333,675.5919,256.7294,32.7272,35.824,32.7272,32.7272,1.8298,32.7272,162606.6654,61391.6081,505.5048,32.7272,32.7272,32.7272,23.0747
p21,481.8373,49.0909,785.9044,1373.4285,1405.7379,52.9545,53.736,49.0909,49.0909,3.0062,49.0909,1219448.802,4555.8095,34243.3457,49.0909,49.0909,49.0909,35.0945
pr1,32.3064,24.9588,89.805,28.8019,184.4345,16.0986,20.3665,24.9588,73.6068,1.0797,24.9588,4285.2893,735.3699,2036.9825,24.9588,24.9588,20.9992,25.115
pr2,60.4838,57.679,122.5719,48.2174,12907.753,38.6321,45.3651,46.4913,97.2974,4.9854,46.4913,17836.9767,1376.4433,70.9594,47.0467,42.0529,41.9503,526.1435
pr3,58.7562,41.9644,83.3477,38.4326,497.3544,31.4078,31.6998,41.9644,59.3314,29.4326,41.9644,57470.469,307.8102,295.0129,41.9644,41.9644,31.2021,49.1621
pr4,1018.9861,51.5513,428.4638,436.7413,274.1027,61.4169,52.0844,65.4384,92.0144,4.3211,65.4384,53224.859,1067.3195,963.9481,61.692,61.692,62.5606,69.3526
pr5,713.1046,209.8328,726.7365,217.6098,1107.2726,121.4282,155.9,241.4476,329.8118,119.4618,241.4476,392590.2677,4539.9116,1269.4636,162.4167,154.2257,62.1974,1242.3408
pr6,21840.7417,111.7745,358.3826,163.0523,710.771,68.9263,84.5283,83.9686,108.446,34.785,83.9686,224331.161,3812.6728,1208.0934,68.5406,70.8218,65.1,202.5552
pr7,167.5337,29.2127,65.8182,38.9498,3644.9398,28.252,42.4651,28.8131,171.0818,1.1777,28.8131,59454.139,324.5532,166.1189,21.348,21.6453,16.8088,28.9723
pr8,7639.798,70.1778,529.9673,220.9979,835.832,85.2387,57.9659,80.5532,103.443,42.2663,80.5532,8536975.927,1209.8776,220.4052,69.3121,80.3936,43.5959,256.2565
pr9,483.2227,103.9025,432.8713,1240.6041,4037.4609,89.1405,110.5701,91.524,169.9205,27.2528,91.524,276967.5084,5682.6735,21158.9767,88.5951,88.7911,78.3787,278.1455
pr10,1432.8143,395.6679,1643.2714,666.7636,601.817,135.954,300.9296,165.9983,601.5738,64.8007,165.9983,487107.0953,4538.4113,6594.6494,167.7858,201.5551,369.3786,2846.1255
