Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,902.5306,1270.5724,1203.8356,1315.033,702.6538,1254.331,1245.0179,1270.5724,1025.68,61.5099,1270.5724,114.755,620.1119,429.6147,1270.5724,1270.5724,1263.6598,1244.729
p2,902.5306,1270.5724,1238.8362,1315.033,702.6538,1254.331,1245.0179,1270.5724,1025.68,61.5099,1270.5724,109.7473,701.0613,429.6147,1270.5724,1270.5724,1263.6598,1244.729
p3,977.6624,1242.5026,1286.9766,1127.0936,796.6879,1361.1091,1335.0302,1242.5026,1048.7368,61.4073,1242.5026,85.8762,646.2442,759.7635,1242.5026,1242.5026,1349.1128,1261.4096
p4,777.1164,1134.8759,816.9725,1075.2107,340.9935,1113.2148,1113.7085,1134.8759,1072.8399,57.25,1134.8759,30.1824,380.3229,91.9299,1134.8759,1134.8759,1161.3045,948.5328
p5,1144.5062,1040.8991,1005.4296,795.6393,766.6255,1175.7592,1045.5223,1040.8991,980.0143,52.2246,1040.8991,26.3196,633.2987,599.8165,1040.8991,1040.8991,1067.4253,1075.8488
p6,772.753,1318.2651,1146.4083,1108.5527,566.5757,1254.9711,1318.4715,1318.2651,1169.7162,65.0709,1318.2651,41.4952,698.2156,548.1987,1318.2651,1318.2651,1125.352,1300.7374
p7,750.9686,1273.4367,1118.5229,890.201,1009.6565,1367.2882,1305.7041,1273.4979,1158.0085,60.099,1273.4979,48.1722,737.2359,795.8762,1273.4367,1272.5126,1345.9842,1161.2278
p8,8177.8054,9305.7296,8633.6076,9083.007,2908.4962,9400.7743,9676.6408,9305.7296,9213.4831,421.5274,9305.7296,79.0539,5216.0476,8697.8772,9305.7296,9305.7296,9418.8223,9645.3903
p9,8773.8163,11997.5409,11807.8709,9805.3589,8241.0862,12229.4818,12190.7353,11997.5409,11049.9003,516.2566,11997.5409,122.7333,8272.1702,6882.3733,11997.5409,11997.5409,11237.3146,11641.4012
p10,8778.0041,11806.0298,11673.8108,12666.6539,8333.5329,12953.4916,12154.6618,11806.0298,11323.1129,622.5578,11806.0298,219.9297,8740.5537,5507.5263,11806.0298,11806.0298,12761.8547,11147.677
p11,9183.0116,12407.7883,11630.1805,10175.3342,7984.0971,12510.667,12725.9101,12594.693,11095.9968,576.2767,12594.693,253.2646,9133.3349,7828.7842,12596.6991,12561.3798,12886.5991,13219.882
p12,11597.6331,12100,10081.8319,515.0721,8010,2304,12100,12100,12100,602.8354,12100,238.8164,3207.0695,1913.1219,12100,12100,12100,12365.867
p15,12358.0386,16133.3333,15591.9749,9534.1277,10304.5,16133.3333,16133.3333,16133.3333,16133.3333,805.2965,16133.3333,418.0333,6505.2352,7056.389,16133.3333,16133.3333,16133.3333,16467.0473
p18,22025.6379,26620,25380.6334,16218.7624,17713.2,26620,26605.873,26620,26620,1346.965,26620,663.6683,16627.2566,16429.412,26620,26620,26620,27671.4248
p21,29408.2171,36300,33482.6895,33185.6519,22220.0312,36376.1679,36286.756,36300,36300,1842.3518,36300,933.5804,24256.6263,24989.3267,36300,36300,36300,37965.6911
pr1,4906.5203,4885.6509,4730.2364,4709.399,2792.9437,5662.4292,4740.3589,4885.6509,3209.2053,270.2543,4885.6509,459.2638,3430.3916,2713.1421,4885.6509,4885.6509,5305.681,4594.4861
pr2,3628.8156,3633.2428,4184.987,3775.0747,812.7858,5020.6436,4165.7277,3960.8071,3060.2683,159.4211,3960.8071,220.5072,3221.9152,3670.188,3940.2526,4052.4321,4589.1546,3214.804
pr3,6875.9817,7300.3904,6972.7375,7953.261,4931.1336,7452.7508,7872.5509,7300.3904,6357.7813,312.9413,7300.3904,260.5106,4447.4047,2940.7822,7300.3904,7300.3904,7823.6842,6954.536
pr4,3774.6962,5169.2642,4620.7313,3945.8704,3208.551,5590.2691,5227.9864,4920.1848,4646.8092,251.6607,4920.1848,135.0418,3322.5552,3628.9518,5044.9531,5044.9531,5345.3243,4757.4829
pr5,2057.4342,2813.8506,2671.3613,3418.8508,1776.4301,3995.5303,3716.0549,3437.2255,2982.3687,80.3669,3437.2255,81.1063,1413.2073,986.9867,3590.4691,3588.6795,5388.0065,3030.0681
pr6,2536.4946,4977.6607,4518.1548,4777.037,3253.5175,5403.3706,5198.1666,5011.7348,5073.6537,193.9802,5011.7348,79.9034,2868.9138,3748.9268,5249.9002,5222.99,5310.2041,4801.2472
pr7,4711.3528,6131.6505,5974.0211,6234.3904,3478.8111,7029.8562,5587.134,6278.9692,4230.7783,375.9404,6278.9692,599.421,3850.4379,4683.9285,6472.3737,6454.4863,6967.1425,6327.8366
pr8,4970.4001,5620.0163,5197.35,5528.2169,2219.8322,5975.4822,5929.5571,5589.5262,5516.5746,261.1318,5589.5262,270.0294,4017.0595,4837.1156,5604.9184,5655.0849,6282.8547,5420.7919
pr9,4968.9192,6160.2951,5959.2486,5096.3439,4179.3229,6324.1339,6400.8397,6178.0101,5249.5472,346.0055,6178.0101,186.0573,5287.6197,4314.5408,6253.7032,6238.569,6502.193,5873.4723
pr10,2580.2878,4445.0072,4112.1545,4005.568,3186.379,5425.8499,4541.7043,4919.6785,3721.1878,176.6652,4919.6785,108.0329,3074.2262,2431.9869,4904.4835,5321.8099,5664.2163,3353.7469
