Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,3844.6476,2350.7206,2856.3979,2635.536,4707.2147,2103.5138,2186.0579,2350.7206,3187.2483,127.0753,2350.7206,7476.6242,7459.6089,8246.1111,2350.7206,2350.7206,2114.2321,2105.8573
p2,3844.6476,2350.7206,2777.1625,2635.536,4707.2147,2103.5138,2186.0579,2350.7206,3187.2483,127.0753,2350.7206,7505.5943,7164.6723,8246.1111,2350.7206,2350.7206,2114.2321,2105.8573
p3,4678.1,2270.5307,2737.2308,2662.6952,5360.7733,2205.3253,2195.0907,2270.5307,3848.48,134.7919,2270.5307,9639.97,9475.0995,9299.5555,2270.5307,2270.5307,2378.6494,2176.7482
p4,26089.9561,21354.2994,25404.5219,22070.5496,31226.76,21663.0515,21652.7087,21354.2994,22078.6799,1063.4137,21354.2994,35113.4274,30854.088,34362.5785,21354.2994,21354.2994,21118.0363,23407.5385
p5,22304.4678,22608.0525,23388.7375,26979.8167,25906.3599,20939.1595,22467.1995,22608.0525,23239,1131.051,22608.0525,35162.1337,28665.4687,29074.1421,22608.0525,22608.0525,22231.7576,22200.447
p6,14832.7757,9032.0174,11353.7592,12217.7627,17418.8526,9750.1608,8985.1101,9032.0174,10652.7676,462.7429,9032.0174,23208.3225,16729.8033,16612.4926,9032.0174,9032.0174,11435.6625,8842.3624
p7,10507.9216,5889.1996,7423.8785,8888.1729,8279.0599,5037.9208,5647.9426,5922.9663,6888.2599,332.0338,5922.9663,17299.3534,10873.2903,10022.463,5889.1996,5909.6131,5354.0151,4488.3779
p8,542207.3552,507819.2825,533120.0613,519942.7122,705883.5354,503852.3918,497261.7518,507819.2825,509643.981,27022.2676,507819.2825,793952.6574,639498.6902,535332.977,507819.2825,507819.2825,504955.1004,483187.6299
p9,314040.0428,204377.0943,223232.834,285296.2004,302935.9598,196607.4985,201852.8061,204377.0943,225225.4377,14366.2366,204377.0943,527556.2057,414206.1502,383218.5097,204377.0943,204377.0943,222920.8668,203294.6564
p10,200593.9229,126178.3286,134382.8412,141861.1786,203996.7454,98428.7305,120428.6643,126178.3286,133923.6705,6437.5572,126178.3286,393058.6258,268198.5405,244253.1318,126178.3286,126178.3286,103410.4168,132584.3702
p11,155429.5776,75557.2438,101233.6017,137763.1757,159502.8271,68843.7595,74456.9921,71486.113,97516.3153,4014.4727,71486.113,313523.9801,192828.8961,194161.1601,71399.3585,72012.6093,64509.5472,59471.4214
p12,81461.5384,66000,88742.7391,181862.1553,106900,165400,66000,66000,66000,3336.7167,66000,184645.3337,155650.8951,168299.2327,66000,66000,66000,45047.6089
p15,183794.7916,66000,86394.075,192520.6644,153432.5,66000,66000,66000,66000,3375.2596,66000,301670.8728,299819.4126,294639.0538,66000,66000,66000,46397.2203
p18,163075.8089,66000,97284.9936,341038.5397,214446.6666,66000,66838.6345,66000,66000,3384.9038,66000,498696.1417,310945.0422,261132.292,66000,66000,66000,46089.0114
p21,201077.0617,66000,137136.776,199508.4995,316310.5555,66314.9094,66838.6345,66000,66000,3535.5963,66000,694821.0786,398735.8424,364163.2798,66000,66000,66000,46148.9293
pr1,11705.1846,8978.8337,11744.1312,10813.9916,19239.3266,10688.0985,8722.4176,8978.8337,17366.1497,484.0087,8978.8337,29760.833,18519.8442,18704.8289,8978.8337,8978.8337,8640.8347,7474.7512
pr2,27080.9226,24674.9976,25138.2366,23048.1443,51831.9007,18870.4091,21457.269,20921.0815,31604.5584,1476.8068,20921.0815,57262.7484,41138.5012,33885.4695,20602.7876,19976.3934,22488.9136,31084.4106
pr3,46191.9429,37030.2322,48248.3451,41287.671,69754.5204,35601.795,35324.281,37030.2322,50494.776,2681.389,37030.2322,132851.799,86348.2863,98997.8646,37030.2322,37030.2322,35201.8973,38970.3513
pr4,77763.3099,44423.7774,58198.2243,67933.0875,82475.781,46280.2451,43724.8785,47794.4989,56587.1343,3082.7127,47794.4989,137808.6055,92326.6576,95612.1944,45058.224,45058.224,44471.9763,45741.1352
pr5,94748.2962,70129.8207,78064.1132,64897.9968,97508.0409,52554.9591,55423.1293,57009.0828,70374.421,5063.6992,57009.0828,135655.6899,106193.3231,116004.3269,51417.4235,51922.8926,42513.8757,66681.2315
pr6,131534.1397,67270.6863,90142.3023,72983.4948,119534.2495,57286.409,61193.6906,63150.8365,70390.5729,5336.5991,63150.8365,205230.6156,133535.7702,103971.59,58068.7442,59092.8433,57783.8316,70265.8316
pr7,11312.9881,8470.4173,10037.7713,11527.945,20595.1776,6958.7168,8552.2396,8354.5402,16835.3416,375.2551,8354.5402,35257.6435,25224.8289,22972.3104,6719.7227,6813.3102,5929.9667,8184.8507
pr8,27433.2042,18208.6317,25947.178,22413.7631,53477.7878,17578.0799,15886.187,18752.5425,20801.5323,1331.1861,18752.5425,73363.9663,37259.3163,35118.1603,18627.5621,17707.6104,15326.77,18841.064
pr9,41170.5679,23382.655,34281.9165,43424.5859,56830.5124,23406.6294,23358.7971,22969.5492,40091.2353,1463.1864,22969.5492,116041.2342,62445.1959,56115.428,22542.4479,22830.7385,22294.3322,22404.1453
pr10,94304.1083,57478.2069,64937.8188,61735.2844,82277.9616,39992.1695,56237.3105,49014.9171,71100.015,3531.0369,49014.9171,143375.0569,85878.9235,95096.4152,47909.9273,39393.2489,42363.1122,60128.9343
