Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,38,0.65,1779.45,1.5,0.2999,78.9,46.25,6.0999,0.5,1311.0999,0.5999,0.2999,0.2,0.2,38.85,1.1499,2.5499,16.6499
p2,0.2999,0.25,2024.2,1.1,0.2,88.65,46.7,0.2,0.45,1137.45,0.2999,0.1,0.2,0.1499,0.2999,0.45,1.6999,17.5
p3,0.45,0.3499,1527.15,1.4499,0.2999,154.15,98.5499,0.4,0.9,2362.6999,0.4,0.1,0.4,0.3499,0.5999,0.5999,4.2999,16.35
p4,0.5,0.5999,6395.8999,2.2999,0.1,123.65,121.2999,0.25,1.25,3280.4,0.45,0.2999,0.1,0.25,0.55,0.65,9.1999,29.35
p5,0.2999,0.45,6598.55,5.2,0.4,118.4,123.5999,0.55,1.4499,2990.5,0.2,0.3499,0.4,0.5,0.45,0.65,8.9,30.3
p6,0.45,0.55,3649.3499,2.6499,0.2,166.3499,90.5,0.25,1.5,3041.05,0.45,0.2999,0.2999,0.3499,0.5999,0.8,10.5999,28.3
p7,0.2999,0.45,4021.8499,2.7999,0.4,185.55,142.9,3.2,1.1499,2913.5,0.25,0.2,0.5,0.5999,0.4,0.6999,8.5999,24.75
p8,0.8499,0.8,18412.4,30.3,1.05,484.6,328.85,0.75,14.6999,18402.3499,0.75,0.1499,0.9499,0.9499,1,1.55,272.1499,81.75
p9,1.1,1.1,12839.2,29.8,0.9499,600.7,265.5,1,15.25,17067.2999,1.1499,0.1499,0.9,0.8,1.1,1.3999,263.8999,81.5499
p10,1.3,1.1499,11336.45,36.2999,0.9499,660.3999,267.25,0.9499,14.8,17415.75,0.9499,0.2,0.9,0.9,1.55,1.6,270.4499,76.7
p11,1.55,1.35,8177.8999,36.95,1.25,381.3999,298.05,1.5,14.8,18814.5499,1.1999,0.3499,1.1499,1.1499,0.2999,0.4,3.85,83.45
p12,0.1499,0.25,4558.1,2.0499,0.2,39.35,57.1499,0.1499,0.55,2641.8499,0.25,0.05,0.1,0.2999,1.3999,2.3999,265.6999,31.85
p15,0.45,0.65,7093.55,9.55,0.65,108.95,110.25,0.5,4.2,370.85,0.55,0.3499,0.5999,0.3499,0.75,0.75,53.0499,35.45
p18,1.1999,1.1499,5035.6499,31.55,0.8499,238.75,73.95,1.25,13.6999,514.5499,1,0.2,1.05,1.05,1.6999,2.95,520.8999,68.9
p21,2.5,3.1,4056.1999,95.25,1.85,1488.8499,186.75,2.25,41.85,36918.3,2.35,0.4,1.8999,1.8999,1.1,1.35,244.1999,167.65
pr1,0.2999,0.1,1704.0499,0.55,0.4,104.0999,40.2,0.1499,0.5,1133.0499,0.25,0.25,0.1,0.1,2.3999,2.7,1115.4,20.05
pr2,0.45,0.2999,3356.1999,2.75,0.3499,225.75,114.4,0.3499,1.1999,2555.9,0.3499,0.1,0.4,0.4,0.75,0.8499,1.5,31.1
pr3,0.6999,0.55,5499.5,6.5499,0.5,234.8,132.05,0.3499,3.5499,4914.9499,0.65,0,0.2999,0.3499,0.6999,0.9499,38.35,35.75
pr4,0.8499,0.9,8868.85,14.65,0.55,350.6,207.9499,0.65,7.15,10349.1499,0.65,0.2,0.5999,0.6999,0.5999,0.5999,9,43.6
pr5,0.9499,0.9,9017.8999,31.8999,0.8499,710.6,213.4,1,13.4499,16643.2,1.1499,0.2999,0.9,0.8,1.1499,1.4499,204.4499,81
pr6,1.35,1.1999,12519.7,41.2999,1.1499,543.35,326.1999,1,21.05,15469.6,1.05,0.1499,1.1499,1.1,0.8499,1.1999,103.75,93.5999
pr7,0.25,0.3499,921.8999,1.8,0.3499,169.4,114.5499,0.2999,0.65,1829.25,1.3,0.25,0.3499,0.2999,0.55,0.4,3.2,24.75
pr8,0.5,0.4,2259.5999,8.25,0.55,278.1999,126.4,0.45,3.1499,4774.6,0.75,0.1,0.3499,0.4,1.8,2.1,450.6999,34.2999
pr9,0.9499,0.8,2731.6999,38.1499,0.8,346.6499,252.75,0.75,9.8,12638.5,0.75,0.55,0.9,0.75,1,1.25,173.15,78.2999
pr10,1.4499,1.75,5456.6499,89.8499,1.35,2391.15,253.0999,1.35,21.4499,15456.5,1.1999,0.2999,1.35,1.1999,0.8499,0.6999,32.95,98.75
