Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,10.9759,2.7239,5.2705,4.8113,126.4736,2.632,2.6156,2.7239,5.0752,0.2097,2.7239,3139.3494,82.0514,48.6863,2.7239,2.7239,2.7873,2.6639
p2,10.9759,2.7239,4.8584,4.8113,126.4736,2.632,2.6156,2.7239,5.0752,0.2097,2.7239,3252.0749,58.213,48.6863,2.7239,2.7239,2.7873,2.6639
p3,11.7823,4.2129,6.566,6.0523,22.1882,4.0926,3.9228,4.2129,11.8388,0.3003,4.2129,2548.1464,195.5324,50.5844,4.2129,4.2129,5.3297,4.3245
p4,33.5727,18.8164,273.7474,20.5267,91.5757,19.4599,19.4421,18.8164,20.5796,0.9287,18.8164,3446.9499,179.3967,373.7909,18.8164,18.8164,18.1847,24.9008
p5,19.4882,21.7197,23.8805,33.9096,33.7927,17.809,21.4889,21.7197,23.7129,1.0828,21.7197,2419.6653,45.4994,48.4717,21.7197,21.7197,20.8274,20.6403
p6,23.3419,8.1314,123.4709,21.6359,62.1147,9.3667,8.2409,8.1314,9.9701,0.3859,8.1314,7137.5362,83.9378,221.1865,8.1314,8.1314,14.1609,8.7343
p7,29.1198,8.9426,40.7828,167.5839,17.1778,6.7887,9.0348,9.1093,16.4256,0.577,9.1093,5447.6005,109.3201,73.0318,8.9426,9.0584,6.817,10.4786
p8,66.3023,54.5706,64.6428,57.2434,242.697,53.5969,51.3883,54.5706,55.315,3.2052,54.5706,85853.4898,196.0749,61.5475,54.5706,54.5706,53.6112,50.1376
p9,70.7978,17.8176,21.8762,32.3461,41.4368,16.8269,17.507,17.8176,21.0694,2.9362,17.8176,75683.1683,167.5197,422.2149,17.8176,17.8176,21.7846,18.68
p10,36.5135,15.557,24.9113,24.6597,577.7201,12.3112,15.197,15.557,18.9755,1.2155,15.557,25650.8398,811.3875,1961.5843,15.557,15.557,12.7639,24.0473
p11,92.6615,13.9836,56.0447,132.0811,70.4311,13.6694,14.123,13.2301,20.2077,0.9392,13.2301,145154.8752,215.4168,105.7539,13.2141,13.3276,15.9042,19.0854
p12,7.0239,5.4545,34.0619,353.0809,13.3458,71.7881,5.4545,5.4545,5.4545,0.2767,5.4545,4602.0161,67.6573,87.9709,5.4545,5.4545,5.4545,3.6439
p15,51.4664,5.4545,11.2541,239.3143,46.6289,5.4545,5.4545,5.4545,5.4545,0.3041,5.4545,9055.4437,1134.0171,10293.1672,5.4545,5.4545,5.4545,3.9446
p18,50.4133,5.4545,20.3888,135.1183,42.7882,5.4545,5.9706,5.4545,5.4545,0.3049,5.4545,27101.1109,12278.3216,101.1009,5.4545,5.4545,5.4545,3.8457
p21,53.5374,5.4545,87.3227,152.6031,156.1931,5.8838,5.9706,5.4545,5.4545,0.334,5.4545,135494.3113,650.8299,4891.9065,5.4545,5.4545,5.4545,3.8993
pr1,8.0766,6.2397,22.4512,7.2004,46.1086,4.0246,5.0916,6.2397,18.4017,0.2699,6.2397,1071.3223,183.8424,509.2456,6.2397,6.2397,5.2498,6.2787
pr2,15.1209,14.4197,30.6429,12.0543,3226.9382,9.658,11.3412,11.6228,24.3243,1.2463,11.6228,4459.2441,344.1108,17.7398,11.7616,10.5132,10.4875,131.5358
pr3,14.689,10.4911,20.8369,9.6081,124.3386,7.8519,7.9249,10.4911,14.8328,7.3581,10.4911,14367.6172,76.9525,73.7532,10.4911,10.4911,7.8005,12.2905
pr4,254.7465,12.8878,107.1159,109.1853,68.5256,15.3542,13.0211,16.3596,23.0036,1.0802,16.3596,13306.2147,266.8298,240.987,15.423,15.423,15.6401,17.3381
pr5,178.2761,52.4582,181.6841,54.4024,276.8181,30.357,38.975,60.3619,82.4529,29.8654,60.3619,98147.5669,1134.9779,317.3659,40.6041,38.5564,15.5493,310.5852
pr6,5460.1854,27.9436,89.5956,40.763,177.6927,17.2315,21.132,20.9921,27.1115,8.6962,20.9921,56082.7902,953.1682,302.0233,17.1351,17.7054,16.275,50.6388
pr7,27.9222,4.8687,10.9697,6.4916,607.4899,4.7086,7.0775,4.8021,28.5136,0.1962,4.8021,9909.0231,64.9106,33.2237,3.558,3.6075,2.8014,4.8287
pr8,1273.2996,11.6963,88.3278,36.8329,139.3053,14.2064,9.6609,13.4255,17.2405,7.0443,13.4255,1422829.321,201.6462,36.7342,11.552,13.3989,7.2659,42.7094
pr9,80.5371,17.317,72.1452,206.7673,672.9101,14.8567,18.4283,15.254,28.32,4.5421,15.254,46161.2514,947.1122,3526.4961,14.7658,14.7985,13.0631,46.3575
pr10,238.8023,65.9446,273.8785,111.1272,100.3028,22.659,50.1549,27.6663,100.2623,10.8001,27.6663,81184.5158,756.4018,1099.1082,27.9643,33.5925,61.5631,474.3542
