Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,66.0184,146.9529,120.2518,124.4439,42.682,171.4308,162.6418,146.9529,92.2859,131.3172,146.9529,2.877,24.4085,20.5004,146.9529,146.9529,170.2508,162.7444
p2,66.0184,146.9529,124.1696,124.4439,42.682,171.4308,162.6418,146.9529,92.2859,131.3172,146.9529,4.1513,35.9413,20.5004,146.9529,146.9529,170.2508,162.7444
p3,102.1771,303.3023,235.0955,245.7446,78.0225,314.8573,317.3869,303.3023,143.066,241.6476,303.3023,4.4724,30.5236,34.3724,303.3023,303.3023,285.5389,309.0827
p4,70.6113,129.7367,91.5111,119.1656,26.7537,125.0941,125.2489,129.7367,119.0495,131.0542,129.7367,3.1194,20.9547,6.4259,129.7367,129.7367,133.3809,99.3207
p5,115.8603,111.6726,100.022,61.8178,72.5008,136.1947,113.6015,111.6726,103.3192,111.4962,111.6726,2.4611,47.6029,43.2462,111.6726,111.6726,116.8803,117.1055
p6,86.584,235.6385,164.8927,136.2578,52.1278,207.566,237.6283,235.6385,177.6508,226.4614,235.6385,3.0713,55.0927,61.7205,235.6385,235.6385,155.4498,234.5835
p7,88.1519,257.6733,156.6559,127.5426,146.3436,322.8422,277.5495,255.4746,201.736,214.0295,255.4746,3.6199,80.6,98.6216,257.6733,256.3411,296.225,291.739
p8,231.6007,280.7363,247.5278,262.6719,63.3526,286.8359,297.1857,280.7363,277.9625,233.9663,280.7363,1.8523,144.8904,240.9184,280.7363,280.7363,285.1307,304.4128
p9,254.8587,589.6036,508.7282,317.713,277.7261,627.4859,602.0308,589.6036,500.8689,312.8647,589.6036,3.0072,128.5637,142.2399,589.6036,589.6036,509.8617,575.686
p10,321.8083,704.2563,620.5224,590.287,310.9912,994.9001,765.2364,704.2563,644.6339,683.6555,704.2563,4.2841,205.3956,205.8961,704.2563,704.2563,931.235,638.3848
p11,320.1184,980.9375,691.57,400.282,304.1547,1106.3392,1000.7874,1054.1716,691.3655,905.1452,1054.1716,4.7798,206.8461,195.4188,1055.8231,1044.2345,1201.1631,1225.3442
p12,202.1076,286.0,239.8624,4.4072,116.8905,20.3724,286.0,286.0,286.0,281.1362,286.0,1.6532,54.9926,17.3341,286.0,286.0,286.0,428.0457
p15,140.5626,762.6666,680.4782,124.7642,209.5386,762.6666,762.6666,762.6666,762.6666,741.0232,762.6666,3.9479,111.708,92.7389,762.6666,762.6666,762.6666,1103.3052
p18,596.7942,1887.5999,1350.4243,233.0453,386.5659,1887.5999,1860.3927,1887.5999,1887.5999,1833.2097,1887.5999,6.204,277.2684,394.2441,1887.5999,1887.5999,1887.5999,2740.3016
p21,1002.0409,3861.0,1907.3304,1013.0236,493.1375,3840.7901,3807.6008,3861.0,3861.0,3577.4074,3861.0,8.5657,644.8224,622.4582,3861.0,3861.0,3861.0,5577.3038
pr1,100.7536,149.1603,105.8108,113.8916,38.3244,115.9241,155.2699,149.1603,48.7863,134.103,149.1603,3.3925,39.855,41.096,149.1603,149.1603,157.2898,156.5078
pr2,145.2474,171.3703,162.711,192.1249,17.312,261.8168,215.7391,224.13,106.9002,122.9768,224.13,4.3298,58.4645,91.4475,229.4877,240.5301,198.6235,117.0381
pr3,364.2367,500.5367,344.0266,429.6747,178.1455,528.1091,533.8635,500.5367,317.2924,287.8504,500.5367,4.1797,86.521,70.3823,500.5367,500.5367,536.229,459.8365
pr4,201.3577,540.5967,326.7619,266.7676,175.5301,508.8563,553.4177,484.7926,370.5153,319.4628,484.7926,3.557,139.7145,116.9737,529.4553,529.4553,539.7392,519.8394
pr5,141.9078,302.1844,252.8731,351.9125,128.9855,508.465,485.7074,444.1537,300.0404,112.488,444.1537,3.3701,94.7489,58.2474,526.6756,518.4852,662.0672,325.7494
pr6,218.3463,788.6709,543.7049,697.2971,278.2797,992.1226,913.8234,864.8259,736.9315,357.079,864.8259,5.4863,229.797,376.6127,973.6546,950.2184,980.3224,711.1241
pr7,186.7551,276.0064,225.4919,181.7959,66.8898,353.1709,272.6212,280.9331,99.5161,321.6934,280.9331,8.2445,75.3366,82.4465,368.5487,362.3984,423.2349,299.4748
pr8,292.9749,525.291,378.197,395.6703,69.6412,550.0743,626.2943,505.252,439.1718,306.9177,505.252,6.9975,160.9035,192.6243,509.753,544.8392,655.1979,508.3829
pr9,475.371,1028.7048,664.1875,437.6157,274.9401,1027.393,1030.5905,1051.7382,494.9532,771.3241,1051.7382,4.7224,244.8143,281.655,1076.4395,1059.6649,1091.2238,1054.8159
pr10,183.7961,518.3637,490.3259,459.2839,260.1229,892.9721,539.1916,666.2991,354.2193,358.9198,666.2991,6.4716,237.8035,179.4454,689.4714,911.6934,810.2999,372.2172
gj1,15.5177,32.6001,48.8452,244.7297,55.9665,56.5582,48.1851,32.6001,27.2176,56.5089,32.6001,2.5882,-,-,32.6001,32.6001,56.1422,14.9211
gj2,13.2396,102.661,125.8821,22.1516,15.1471,169.6595,168.3444,102.661,69.7681,146.618,102.661,2.7515,-,-,102.661,102.661,150.7722,69.4603
gj3,108.319,114.7643,114.8714,132.082,82.3481,146.3309,143.8258,114.7643,129.0319,76.5273,114.7643,1.6362,-,-,114.7643,114.7643,146.3309,137.1524
gj4,43.2373,172.1787,359.8901,193.1257,121.8737,520.4698,318.6531,172.1787,153.3702,352.4754,172.1787,4.3873,-,-,172.1787,172.1787,397.6572,113.7689
gj5,199.2847,218.4285,547.2198,104.7201,23.8042,1030.8211,474.2991,218.4285,66.6895,661.7044,218.4285,5.1757,-,-,218.4285,218.4285,464.4838,196.7868
gj6,10.3461,28.913,80.6238,2.8864,7.0345,107.6785,91.1753,28.913,8.7979,74.8099,28.913,1.5133,-,-,28.913,28.913,103.1139,2.924
gj7,187.1604,349.1165,273.494,143.8659,24.6794,399.2665,401.4189,349.1165,178.0824,355.9782,349.1165,3.4427,-,-,349.1165,349.1165,382.4125,368.9792
gj8,291.4621,382.4128,613.7478,318.9755,139.3472,1066.4618,749.0518,382.4128,206.3853,810.1572,382.4128,3.2718,-,-,382.4128,382.4128,972.9137,308.4971
gj9,69.5626,31.3749,64.8513,22.2978,6.2828,95.1136,47.7454,31.3749,31.8626,84.1118,31.3749,2.1386,-,-,31.3749,31.3749,84.0372,22.3227
gj10,136.6549,141.292,143.9633,128.7056,43.3849,184.0971,171.9545,141.292,102.6559,97.0142,141.292,2.7248,-,-,141.292,141.292,172.4749,125.9534
gj11,222.9047,239.628,376.2286,85.0854,195.0166,573.9334,463.7384,239.628,213.1565,424.3481,239.628,5.7854,-,-,239.628,239.628,502.0316,188.0111
