Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,43.5499,0.8,4799.9499,1.3999,0.2999,132.0999,55.6,0.2999,0.45,49466.6999,0.5999,0.1,0.2999,0.2999,0.4,0.2,2.0499,24
p2,0.3499,0.1,4691.55,0.65,0.25,129.9,55.3999,0.2999,0.45,41736.5,0.4,0.2,0.4,0.4,0.4,0.2,1.6,13.5999
p3,0.55,0.25,3041.5,1.3,0.1499,153.6999,122.4,0.4,0.75,70461.1,0.3499,0.4,0.5999,0.45,0.5999,0.5999,3.7,29.6
p4,0.4,0.5,12678.0499,2.25,0.5,138.5999,137.3,0.1499,1.1499,113653.05,0.2,0.2999,0.3499,0.25,0.1499,0.4,7.25,25.3999
p5,0.5,0.2999,12623.8999,2.3999,0.3499,131.9499,112.7999,0.25,1.25,110855.8,0.45,0.1499,0.2,0.25,0.1,0.45,5.7999,23.6999
p6,0.2,0.2,10329.25,1.8999,0.2,178.0999,73.7999,0.25,1,114000.8999,0.1499,0.25,0.4,0.2999,0.2,0.2999,8.5,26.3999
p7,0.55,0.3499,7138.1,2.25,0.1499,213.3499,156.25,0.25,1.1,111343.1,0.45,0.1499,0.2,0.2999,0.3499,0.5,6.95,23
p8,0.9499,0.6999,31044.2,25.55,0.9499,597.45,286.4499,0.65,12.6999,473137.0999,0.55,0.2,0.8,1,0.9,1.35,216.0999,79.0499
p9,0.6999,0.8499,18188.3499,25.75,0.9,615.35,280.85,0.6999,12.8499,333675.5499,0.9499,0.25,0.9499,0.8499,1.1,1.35,224.75,73.75
p10,1.05,0.9,13354.6499,29.5,0.9,620.25,252.8499,0.9,12.5,316222.45,0.9,0.1499,0.9499,0.9,0.9,1.3999,221.9,77.0499
p11,1.4499,1.25,9042.7,32.2999,1.25,362.5,249,1,13.25,340515.4,1.1499,0.3499,1.1499,1.25,1.3,1.8,226.0999,83.7
p12,0.1,0.1,4162.3,1.3,0.3499,37.85,57.6499,0.1,0.5,41005,0.2999,0,0.1499,0.1499,0.25,0.2,3,31.6499
p15,0.2999,0.5999,5667.8999,7.9,0.5,93.7,110.9,0.4,4.0999,6891.55,0.5999,0.25,0.2999,0.5,0.75,0.5,40.3999,45.95
p18,1.1,1.1999,4241.75,26.75,0.8499,230.65,86.15,1.05,12.25,10907.3999,0.9499,0.5,0.9,0.75,1,1.25,189.25,81.3499
p21,2.25,2.85,3820.65,85.65,1.6499,1405.8499,176.9,2.1,37.1,839155.3499,3.1499,0.9499,2.2999,2.1,4,2.5499,918.85,159.8
pr1,0.1499,0.05,1167.95,0.45,0.25,88.25,40.85,0.2,0.2999,15355.7999,0.25,0.2,0.1499,0.1499,0.25,0.2,0.8499,13.15
pr2,0.45,0.25,2711.5999,2.6499,0.25,195.8,112.95,0.25,1.05,46863.8,0.25,0.1,0.2,0.25,0.45,0.45,7.2,28.05
pr3,0.5999,0.45,5872.35,5.7,0.5,221.1999,158.9499,0.45,3.1,118777.55,0.2999,0.1499,0.45,0.4,0.45,0.5999,29.4499,31.1
pr4,0.65,0.5,6629.55,14.4,0.5,262,175.55,0.8,7.2999,278408.95,1.4499,0.25,0.65,0.5999,0.5999,1.05,79.65,51.3999
pr5,0.9,0.9499,9307.2999,28.3999,0.75,634.8999,190.8,1.1,12.15,340228.4,1.8999,0.45,0.9,0.8499,0.9499,1.25,172.4499,76.65
pr6,2.25,1.35,12251.5,39.7999,1.8,397.75,275.8,1.1499,20.3999,360841.45,1.1,0.25,1.3,1.3,1.35,1.9499,396.9499,100
pr7,0.25,0.2,816.1,1.6999,0.3499,126.25,82.5,0.4,0.5999,34294.5,0.55,0.25,0.2,0.45,0.55,0.5,2.75,29.6
pr8,0.45,0.3499,1421.9,8.05,0.45,221.9499,124.8499,0.2999,2.8999,97983.55,0.5999,0.3499,0.55,0.2999,0.6999,0.75,26.9499,41.0499
pr9,1.25,0.9,2671.5,36.25,0.9,309.75,195.8499,1,9.4,287613.4,0.8,0.25,1.05,1,1,1.35,127.0499,95.15
pr10,1.5,1.75,4356.05,86.65,1.3999,1833.5,188.5999,1.35,20.35,332665.9,1.3999,0.3499,1.3999,1.3999,1.6,2.1499,454.6499,99.0999
gj1,0.2,0.1499,2409.5999,0.5,0.2,22.05,47.3999,0.1499,0.2,17782.15,0.2999,0.05,0.05,0.05,0.1499,0.2,0.6999,15.15
gj2,0.2999,0.1499,2274.3,1.3,0.2,98.5499,62.5499,0.1,0.5999,949316.5,4,0.05,0.5,0.1499,0.2999,0.4,2.5499,26.35
gj3,0.3499,0.25,4911.05,2.5,0.2999,79.5499,121.5999,0.1,1,64174.8,0.2999,0.1,0.25,0.1499,0.1499,0.5,6.5,29.1499
gj4,0.5999,0.65,4874.25,7.0999,0.5999,366.8,161.15,0.3499,3.7,136863.5,0.6999,0.1499,0.3499,0.5999,0.9499,0.8,35.5,45.85
gj5,0.9499,1.5,5000.9499,15.9,0.9,774.5,195.0999,1.1,9.4,226666.2,0.9,0.45,0.65,0.5999,0.9,0.9499,90.7999,59.2
gj6,0.1499,0.1,3737.15,1.25,0.1499,131.75,58.1,0.25,0.5999,39408.8499,0.25,0.1,0.25,2.45,0.2,0.1499,2.35,21.85
gj7,0.5999,0.2999,4659.25,4.2999,0.4,171.3,117.15,0.4,2.1,100578.3,2.6499,0.1,0.2,1.1999,0.2,0.45,15.75,31.85
gj8,1.1,1.1,9753.25,25.55,1,731,281.1999,1.05,12.9,389334.0499,1.1499,0.25,0.6999,1.6,0.9,0.9499,230.9499,84.65
gj9,0.25,0.1499,2964.4,0.75,0.05,91.0999,53,0.1,0.4,23708.0999,0.25,0.1,0.1,0.2,0.1499,0.2,1.3,19.4499
gj10,0.1,0.1499,3084.6999,1.35,0.2999,95.0499,80,0.1,0.55,38047.1999,0.1,0.2,0.1499,0.2,0.3499,0.4,4.2,29.05
gj11,0.2999,0.3499,2912.5999,3.7,0.2999,135.5999,94.0499,0.4,1.6999,105552,0.55,0.25,0.25,1.5,0.5,0.65,16.9499,38.8999
