Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,902.5306,1270.5724,1206.4567,1315.033,702.6538,1254.331,1245.0179,1270.5724,1025.68,1230.1985,1270.5724,84.13,490.0346,429.6147,1270.5724,1270.5724,1263.6598,1244.729
p2,902.5306,1270.5724,1221.408,1315.033,702.6538,1254.331,1245.0179,1270.5724,1025.68,1230.1985,1270.5724,112.7776,703.2922,429.6147,1270.5724,1270.5724,1263.6598,1244.729
p3,977.6624,1242.5026,1263.1513,1127.0936,796.6879,1361.1091,1335.0302,1242.5026,1048.7368,1228.1465,1242.5026,82.8384,576.6511,759.7635,1242.5026,1242.5026,1349.1128,1261.4096
p4,777.1164,1134.8759,890.6442,1075.2107,340.9935,1113.2148,1113.7085,1134.8759,1072.8399,1145.0004,1134.8759,43.8808,260.1592,91.9299,1134.8759,1134.8759,1161.3045,948.5328
p5,1144.5062,1040.8991,999.5605,795.6393,766.6255,1175.7592,1045.5223,1040.8991,980.0143,1044.4933,1040.8991,34.9836,641.6693,599.8165,1040.8991,1040.8991,1067.4253,1075.8488
p6,772.753,1318.2651,1165.2595,1108.5527,566.5757,1254.9711,1318.4715,1318.2651,1169.7162,1301.4181,1318.2651,43.1874,608.8335,548.1987,1318.2651,1318.2651,1125.352,1300.7374
p7,750.9686,1273.4367,1004.2367,890.201,1009.6565,1367.2882,1305.7041,1273.4979,1158.0085,1201.981,1273.4979,52.0415,734.0839,795.8762,1273.4367,1272.5126,1345.9842,1161.2278
p8,8177.8054,9305.7296,8536.9786,9083.007,2908.4962,9400.7743,9676.6408,9305.7296,9213.4831,8430.5493,9305.7296,96.0456,5532.5775,8697.8772,9305.7296,9305.7296,9418.8223,9645.3903
p9,8773.8163,11997.5409,11693.9225,9805.3589,8241.0862,12229.4818,12190.7353,11997.5409,11049.9003,10325.1328,11997.5409,154.9996,9591.342,6882.3733,11997.5409,11997.5409,11237.3146,11641.4012
p10,8778.0041,11806.0298,11448.9537,12666.6539,8333.5329,12953.4916,12154.6618,11806.0298,11323.1129,12451.1578,11806.0298,222.5397,8527.5756,5507.5263,11806.0298,11806.0298,12761.8547,11147.677
p11,9183.0116,12407.7883,11521.776,10175.3342,7984.0971,12510.667,12725.9101,12594.693,11095.9968,11525.5346,12594.693,252.0082,8683.2908,7828.7842,12596.6991,12561.3798,12886.5991,13219.882
p12,11597.6331,12100,10878.4282,515.0721,8010,2304,12100,12100,12100,12056.7081,12100,196.559,4716.675,1913.1219,12100,12100,12100,12365.867
p15,12358.0386,16133.3333,16070.825,9534.1277,10304.5,16133.3333,16133.3333,16133.3333,16133.3333,16105.9306,16133.3333,385.2662,7626.2104,7056.389,16133.3333,16133.3333,16133.3333,16467.0473
p18,22025.6379,26620,26218.7178,16218.7624,17713.2,26620,26605.873,26620,26620,26939.3014,26620,677.3142,16107.4674,16429.412,26620,26620,26620,27671.4248
p21,29408.2171,36300,33397.6887,33185.6519,22220.0312,36376.1679,36286.756,36300,36300,36847.0362,36300,899.2764,24908.6973,24989.3267,36300,36300,36300,37965.6911
pr1,4906.5203,4885.6509,4653.6377,4709.399,2792.9437,5662.4292,4740.3589,4885.6509,3209.2053,5405.0861,4885.6509,394.2617,3573.9036,2713.1421,4885.6509,4885.6509,5305.681,4594.4861
pr2,3628.8156,3633.2428,3963.7679,3775.0747,812.7858,5020.6436,4165.7277,3960.8071,3060.2683,3188.4235,3960.8071,226.5359,3304.374,3670.188,3940.2526,4052.4321,4589.1546,3214.804
pr3,6875.9817,7300.3904,6721.9072,7953.261,4931.1336,7452.7508,7872.5509,7300.3904,6357.7813,6258.8263,7300.3904,221.3454,3735.4888,2940.7822,7300.3904,7300.3904,7823.6842,6954.536
pr4,3774.6962,5169.2642,4364.6871,3945.8704,3208.551,5590.2691,5227.9864,4920.1848,4646.8092,5033.2145,4920.1848,110.9106,3328.0027,3628.9518,5044.9531,5044.9531,5345.3243,4757.4829
pr5,2057.4342,2813.8506,2653.8473,3418.8508,1776.4301,3995.5303,3716.0549,3437.2255,2982.3687,1607.3394,3437.2255,64.4624,1382.4332,986.9867,3590.4691,3588.6795,5388.0065,3030.0681
pr6,2536.4946,4977.6607,4383.161,4777.037,3253.5175,5403.3706,5198.1666,5011.7348,5073.6537,3879.6055,5011.7348,108.4427,2918.245,3748.9268,5249.9002,5222.99,5310.2041,4801.2472
pr7,4711.3528,6131.6505,5832.7681,6234.3904,3478.8111,7029.8562,5587.134,6278.9692,4230.7783,7518.8094,6278.9692,752.0955,4093.7669,4683.9285,6472.3737,6454.4863,6967.1425,6327.8366
pr8,4970.4001,5620.0163,5211.5297,5528.2169,2219.8322,5975.4822,5929.5571,5589.5262,5516.5746,5222.6374,5589.5262,313.337,4090.4343,4837.1156,5604.9184,5655.0849,6282.8547,5420.7919
pr9,4968.9192,6160.2951,5944.527,5096.3439,4179.3229,6324.1339,6400.8397,6178.0101,5249.5472,6920.1106,6178.0101,147.2633,5470.9577,4314.5408,6253.7032,6238.569,6502.193,5873.4723
pr10,2580.2878,4445.0072,4204.4673,4005.568,3186.379,5425.8499,4541.7043,4919.6785,3721.1878,3533.3052,4919.6785,136.6511,3015.8913,2431.9869,4904.4835,5321.8099,5664.2163,3353.7469
