Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,3844.6476,2350.7206,2734.9492,2635.536,4707.2147,2103.5138,2186.0579,2350.7206,3187.2483,2541.5063,2350.7206,7627.043,8007.5459,8246.1111,2350.7206,2350.7206,2114.2321,2105.8573
p2,3844.6476,2350.7206,2676.4138,2635.536,4707.2147,2103.5138,2186.0579,2350.7206,3187.2483,2541.5063,2350.7206,7485.9492,7188.8325,8246.1111,2350.7206,2350.7206,2114.2321,2105.8573
p3,4678.1,2270.5307,2782.7198,2662.6952,5360.7733,2205.3253,2195.0907,2270.5307,3848.48,2695.8385,2270.5307,9653.8605,9662.3518,9299.5555,2270.5307,2270.5307,2378.6494,2176.7482
p4,26089.9561,21354.2994,24469.2749,22070.5496,31226.76,21663.0515,21652.7087,21354.2994,22078.6799,21268.2745,21354.2994,34943.2619,32315.959,34362.5785,21354.2994,21354.2994,21118.0363,23407.5385
p5,22304.4678,22608.0525,23679.1977,26979.8167,25906.3599,20939.1595,22467.1995,22608.0525,23239,22621.0219,22608.0525,35052.9672,28563.3003,29074.1421,22608.0525,22608.0525,22231.7576,22200.447
p6,14832.7757,9032.0174,11288.2122,12217.7627,17418.8526,9750.1608,8985.1101,9032.0174,10652.7676,9254.8592,9032.0174,23177.9177,17484.6289,16612.4926,9032.0174,9032.0174,11435.6625,8842.3624
p7,10507.9216,5889.1996,8349.2198,8888.1729,8279.0599,5037.9208,5647.9426,5922.9663,6888.2599,6640.6764,5922.9663,17262.3001,10941.3786,10022.463,5889.1996,5909.6131,5354.0151,4488.3779
p8,542207.3552,507819.2825,535614.5472,519942.7122,705883.5354,503852.3918,497261.7518,507819.2825,509643.981,540445.3536,507819.2825,793442.5286,630029.0799,535332.977,507819.2825,507819.2825,504955.1004,483187.6299
p9,314040.0428,204377.0943,225457.5816,285296.2004,302935.9598,196607.4985,201852.8061,204377.0943,225225.4377,287324.7337,204377.0943,526666.6552,395959.9026,383218.5097,204377.0943,204377.0943,222920.8668,203294.6564
p10,200593.9229,126178.3286,140666.7056,141861.1786,203996.7454,98428.7305,120428.6643,126178.3286,133923.6705,128751.1442,126178.3286,393067.7811,254011.9158,244253.1318,126178.3286,126178.3286,103410.4168,132584.3702
p11,155429.5776,75557.2438,100688.7317,137763.1757,159502.8271,68843.7595,74456.9921,71486.113,97516.3153,80289.454,71486.113,313664.2887,191769.4807,194161.1601,71399.3585,72012.6093,64509.5472,59471.4214
p12,81461.5384,66000,79327.9744,181862.1553,106900,165400,66000,66000,66000,66734.3358,66000,185058.324,140894.5012,168299.2327,66000,66000,66000,45047.6089
p15,183794.7916,66000,72181.0802,192520.6644,153432.5,66000,66000,66000,66000,67505.1924,66000,302288.3265,281382.7299,294639.0538,66000,66000,66000,46397.2203
p18,163075.8089,66000,90765.5121,341038.5397,214446.6666,66000,66838.6345,66000,66000,67698.0778,66000,498694.0609,322621.4822,261132.292,66000,66000,66000,46089.0114
p21,201077.0617,66000,138195.6843,199508.4995,316310.5555,66314.9094,66838.6345,66000,66000,70711.9278,66000,696259.8277,367734.4728,364163.2798,66000,66000,66000,46148.9293
pr1,11705.1846,8978.8337,12165.7219,10813.9916,19239.3266,10688.0985,8722.4176,8978.8337,17366.1497,9680.174,8978.8337,30098.8812,19646.8775,18704.8289,8978.8337,8978.8337,8640.8347,7474.7512
pr2,27080.9226,24674.9976,26373.7272,23048.1443,51831.9007,18870.4091,21457.269,20921.0815,31604.5584,29536.1376,20921.0815,57150.4608,40622.663,33885.4695,20602.7876,19976.3934,22488.9136,31084.4106
pr3,46191.9429,37030.2322,50644.3355,41287.671,69754.5204,35601.795,35324.281,37030.2322,50494.776,53627.7807,37030.2322,133350.372,94166.0945,98997.8646,37030.2322,37030.2322,35201.8973,38970.3513
pr4,77763.3099,44423.7774,62735.4608,67933.0875,82475.781,46280.2451,43724.8785,47794.4989,56587.1343,61654.2547,47794.4989,138273.4088,91691.591,95612.1944,45058.224,45058.224,44471.9763,45741.1352
pr5,94748.2962,70129.8207,78336.9485,64897.9968,97508.0409,52554.9591,55423.1293,57009.0828,70374.421,101273.9842,57009.0828,136026.5157,106410.6254,116004.3269,51417.4235,51922.8926,42513.8757,66681.2315
pr6,131534.1397,67270.6863,89958.5102,72983.4948,119534.2495,57286.409,61193.6906,63150.8365,70390.5729,106731.9827,63150.8365,204433.9869,131650.9652,103971.59,58068.7442,59092.8433,57783.8316,70265.8316
pr7,11312.9881,8470.4173,10043.5056,11527.945,20595.1776,6958.7168,8552.2396,8354.5402,16835.3416,7505.1037,8354.5402,34450.4532,24274.9457,22972.3104,6719.7227,6813.3102,5929.9667,8184.8507
pr8,27433.2042,18208.6317,23938.2292,22413.7631,53477.7878,17578.0799,15886.187,18752.5425,20801.5323,26623.7226,18752.5425,72905.1095,38984.2389,35118.1603,18627.5621,17707.6104,15326.77,18841.064
