Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,10.9759,2.7239,4.6755,4.8113,126.4736,2.632,2.6156,2.7239,5.0752,4.1948,2.7239,901.3819,92.2573,48.6863,2.7239,2.7239,2.7873,2.6639
p2,10.9759,2.7239,4.5064,4.8113,126.4736,2.632,2.6156,2.7239,5.0752,4.1948,2.7239,1935.4325,55.0737,48.6863,2.7239,2.7239,2.7873,2.6639
p3,11.7823,4.2129,7.313,6.0523,22.1882,4.0926,3.9228,4.2129,11.8388,6.0065,4.2129,2930.1903,440.6736,50.5844,4.2129,4.2129,5.3297,4.3245
p4,33.5727,18.8164,65.1078,20.5267,91.5757,19.4599,19.4421,18.8164,20.5796,18.5749,18.8164,14671.123,260.3943,373.7909,18.8164,18.8164,18.1847,24.9008
p5,19.4882,21.7197,28.4281,33.9096,33.7927,17.809,21.4889,21.7197,23.7129,21.6574,21.7197,1786.0261,44.7563,48.4717,21.7197,21.7197,20.8274,20.6403
p6,23.3419,8.1314,16.3319,21.6359,62.1147,9.3667,8.2409,8.1314,9.9701,7.7199,8.1314,7449.7796,103.2119,221.1865,8.1314,8.1314,14.1609,8.7343
p7,29.1198,8.9426,72.8846,167.5839,17.1778,6.7887,9.0348,9.1093,16.4256,11.5408,9.1093,20290.3987,95.019,73.0318,8.9426,9.0584,6.817,10.4786
p8,66.3023,54.5706,77.0025,57.2434,242.697,53.5969,51.3883,54.5706,55.315,64.1055,54.5706,45521.0869,183.8451,61.5475,54.5706,54.5706,53.6112,50.1376
p9,70.7978,17.8176,22.436,32.3461,41.4368,16.8269,17.507,17.8176,21.0694,58.7255,17.8176,143579.1333,125.0547,422.2149,17.8176,17.8176,21.7846,18.68
p10,36.5135,15.557,26.413,24.6597,577.7201,12.3112,15.197,15.557,18.9755,24.3103,15.557,35947.7908,618.0515,1961.5843,15.557,15.557,12.7639,24.0473
p11,92.6615,13.9836,47.0482,132.0811,70.4311,13.6694,14.123,13.2301,20.2077,18.7845,13.2301,26846.0416,224.2424,105.7539,13.2141,13.3276,15.9042,19.0854
p12,7.0239,5.4545,745.3847,353.0809,13.3458,71.7881,5.4545,5.4545,5.4545,5.535,5.4545,4838.3051,43.9581,87.9709,5.4545,5.4545,5.4545,3.6439
p15,51.4664,5.4545,6.4826,239.3143,46.6289,5.4545,5.4545,5.4545,5.4545,6.0821,5.4545,17273.7335,596.3472,10293.1672,5.4545,5.4545,5.4545,3.9446
p18,50.4133,5.4545,28.0797,135.1183,42.7882,5.4545,5.9706,5.4545,5.4545,6.0995,5.4545,94710.3181,6491.6157,101.1009,5.4545,5.4545,5.4545,3.8457
p21,53.5374,5.4545,151.4713,152.6031,156.1931,5.8838,5.9706,5.4545,5.4545,6.6805,5.4545,59462.1663,414.1699,4891.9065,5.4545,5.4545,5.4545,3.8993
pr1,8.0766,6.2397,47.2976,7.2004,46.1086,4.0246,5.0916,6.2397,18.4017,5.3987,6.2397,4145.0541,51.0873,509.2456,6.2397,6.2397,5.2498,6.2787
pr2,15.1209,14.4197,25.3579,12.0543,3226.9382,9.658,11.3412,11.6228,24.3243,24.9273,11.6228,4246.059,93.9194,17.7398,11.7616,10.5132,10.4875,131.5358
pr3,14.689,10.4911,33.5898,9.6081,124.3386,7.8519,7.9249,10.4911,14.8328,147.1633,10.4911,15103.0392,99.1585,73.7532,10.4911,10.4911,7.8005,12.2905
pr4,254.7465,12.8878,104.3342,109.1853,68.5256,15.3542,13.0211,16.3596,23.0036,21.6057,16.3596,26377.159,402.7997,240.987,15.423,15.423,15.6401,17.3381
pr5,178.2761,52.4582,387.2914,54.4024,276.8181,30.357,38.975,60.3619,82.4529,597.3093,60.3619,39771.5169,1445.7079,317.3659,40.6041,38.5564,15.5493,310.5852
pr6,5460.1854,27.9436,114.0083,40.763,177.6927,17.2315,21.132,20.9921,27.1115,173.9251,20.9921,56617.9205,565.0824,302.0233,17.1351,17.7054,16.275,50.6388
pr7,27.9222,4.8687,10.4978,6.4916,607.4899,4.7086,7.0775,4.8021,28.5136,3.9258,4.8021,179428.2636,53.261,33.2237,3.558,3.6075,2.8014,4.8287
pr8,1273.2996,11.6963,61.766,36.8329,139.3053,14.2064,9.6609,13.4255,17.2405,140.8878,13.4255,8336.9275,230.9598,36.7342,11.552,13.3989,7.2659,42.7094
pr9,80.5371,17.317,79.0996,206.7673,672.9101,14.8567,18.4283,15.254,28.32,90.8429,15.254,31807.6423,642.2491,3526.4961,14.7658,14.7985,13.0631,46.3575
pr10,238.8023,65.9446,716.0802,111.1272,100.3028,22.659,50.1549,27.6663,100.2623,216.0023,27.6663,59047.3182,1877.7842,1099.1082,27.9643,33.5925,61.5631,474.3542
gj1,11.383,11.779,11.5242,73.3902,10.7206,10.4557,9.8749,11.779,22.0445,10.6177,11.779,1063.5993,0,0,11.779,11.779,10.2596,11.8417
gj2,73.539,8.4254,7.7551,9.527,971.6766,5.6848,5.679,8.4254,26.983,6.4508,8.4254,4717.9215,0,0,8.4254,8.4254,6.6989,10.9678
gj3,20.3022,18.5813,21.1116,17.0948,29.7517,16.2003,16.394,18.5813,18.9875,25.2403,18.5813,3589.686,0,0,18.5813,18.5813,16.2003,16.6562
gj4,269.361,36.4911,17.8326,130.22,145.3848,8.0466,26.0242,36.4911,57.0712,22.0803,36.4911,31051.9372,0,0,36.4911,36.4911,14.8003,40.7069
gj5,486.272,527.3659,60.7366,248.3139,838.2309,14.204,267.5559,527.3659,421.629,19.3364,527.3659,53069.3776,0,0,527.3659,527.3659,56.7686,250.8286
gj6,84.6692,19.9964,15.3837,24.9532,194.5403,12.6549,13.9123,19.9964,155.5492,15.5608,19.9964,9143.8433,0,0,19.9964,19.9964,12.7431,24.6324
gj7,16.5087,7.9639,13.848,15.673,26364.6577,6.9702,6.5019,7.9639,17.838,7.4847,7.9639,6337.1932,0,0,7.9639,7.9639,7.8545,7.195
gj8,115.5628,57.1415,37.2615,34.4318,247.6149,11.1163,31.1109,57.1415,127.0778,17.4376,57.1415,69839.5758,0,0,57.1415,57.1415,14.0506,107.9867
gj9,12.4511,16.6066,12.8805,11.9219,138.4729,8.781,11.4246,16.6066,27.3046,8.9527,16.6066,3373.4858,0,0,16.6066,16.6066,10.3525,11.909
gj10,12.4204,9.1509,8.5912,12.5599,1920.5951,5.832,7.1286,9.1509,16.8667,10.0711,9.1509,16426.191,0,0,9.1509,9.1509,7.2662,14.0725
gj11,27.0748,18.7838,12.4931,83.7518,42.313,6.793,9.5675,18.7838,35.0599,7.076,18.7838,10489.8338,0,0,18.7838,18.7838,8.8984,13.843
