Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,0.7224,0.605,0.614,1.1225,0.614,0.6051,0.6004
p2,0.7224,0.605,0.614,1.1468,0.614,0.6051,0.6004
p3,0.7848,0.5518,0.5476,1.1465,0.5476,0.5726,0.5378
p4,1.0245,0.9382,0.948,1.2369,0.948,0.939,0.9437
p5,0.9758,0.9326,0.959,1.2364,0.959,0.971,0.9682
p6,0.9762,0.7813,0.7194,1.1984,0.7194,0.809,0.7314
p7,0.8957,0.6197,0.6915,1.213,0.6879,0.6682,0.6254
p8,2.9801,2.9269,2.8861,3.7207,2.8861,2.9012,2.8892
p9,2.649,2.2147,2.2431,3.7355,2.2431,2.2928,2.2445
p10,2.4004,1.8578,2.0423,3.7495,2.0423,1.8853,1.9885
