Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,3.3009,8.5715,7.3476,0.1871,7.3476,8.5125,7.4044
p2,3.3009,8.5715,7.3476,0.0982,7.3476,8.5125,7.4044
p3,5.1088,15.7428,15.1651,0.3227,15.1651,14.2769,14.4723
p4,3.5305,6.2547,6.4868,0.0464,6.4868,6.669,6.1589
p5,5.793,6.8097,5.5836,0.1649,5.5836,5.844,5.4054
p6,4.3292,10.3783,11.7819,0.2937,11.7819,7.7724,10.4492
p7,4.4075,16.1421,12.7737,0.2195,12.8836,14.8112,15.3412
p8,11.58,14.3417,14.0368,0.437,14.0368,14.2565,13.4781
p9,12.7429,31.3742,29.4801,0.1933,29.4801,25.493,27.3892
p10,16.0904,49.745,35.2128,0.0671,35.2128,46.5617,32.9002
