Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,0.0674,0.0402,0.0418,0.3779,0.0418,0.0411,0.0404
p2,0.0674,0.0402,0.0418,0.4828,0.0418,0.0411,0.0404
p3,0.0734,0.0418,0.041,1.0634,0.041,0.0463,0.0407
p4,0.0735,0.0562,0.0562,0.6755,0.0562,0.0551,0.0577
p5,0.0576,0.0543,0.0594,0.3606,0.0594,0.0594,0.0605
p6,0.0783,0.0471,0.0414,0.3295,0.0414,0.0526,0.0425
p7,0.0912,0.0402,0.0485,0.618,0.0481,0.0438,0.0492
p8,0.0659,0.0603,0.0598,0.3528,0.0598,0.0597,0.0607
p9,0.0842,0.0405,0.0422,0.7948,0.0422,0.0445,0.0443
p10,0.0644,0.0392,0.0446,1.6601,0.0446,0.0394,0.0433
