Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,0.005,0.0086,0.0072,0.0035,0.0072,0.0086,0.0103
p2,0.005,0.0086,0.0072,0.0031,0.0072,0.0086,0.0103
p3,0.0037,0.0051,0.0048,0.0014,0.0048,0.0043,0.0063
p4,0.0019,0.0036,0.0031,7.0E-4,0.0031,0.0046,0.0052
p5,0.0026,0.0046,0.004,0.0012,0.004,0.0027,0.0048
p6,0.0029,0.0018,0.0039,7.0E-4,0.0039,0.0021,0.0052
p7,0.0019,0.0049,0.0018,8.0E-4,0.0011,0.0026,0.0067
p8,0.0011,0.0011,0.0013,1.0E-4,0.0013,9.0E-4,0.0028
p9,0.0012,0.0014,9.0E-4,1.0E-4,9.0E-4,0.0014,0.0031
p10,7.0E-4,0.0013,0.0016,1.0E-4,0.0016,0.0019,0.0029
