Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,2.1951,0.5264,0.5447,60.6328,0.5447,0.5574,0.5576
p2,2.1951,0.5264,0.5447,80.7006,0.5447,0.5574,0.5576
p3,2.9455,1.0231,1.0532,1746.2691,1.0532,1.3324,1.2096
p4,3.3572,1.9459,1.8816,263.432,1.8816,1.8184,1.9818
p5,1.9488,1.7809,2.1719,74.2251,2.1719,2.0827,2.2336
p6,3.5012,1.405,1.2197,75.2381,1.2197,2.1241,1.5103
p7,5.8239,1.3577,1.8218,421.2997,1.7885,1.3634,1.9893
p8,6.6302,5.3596,5.457,175.914,5.457,5.3611,5.5912
p9,10.6196,2.524,2.6726,993.1853,2.6726,3.2677,2.8761
p10,7.3027,2.4622,3.1114,5757.7023,3.1114,2.5527,4.1292
