Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,0.0043,0.0173,0.0153,-0.0035,0.0153,0.0172,0.0154
p2,0.0043,0.0173,0.0153,-0.0044,0.0153,0.0172,0.0154
p3,0.0033,0.0169,0.0152,-0.0064,0.0152,0.0167,0.0147
p4,0.0127,0.0164,0.0163,-1.0E-4,0.0163,0.0167,0.0155
p5,0.0156,0.017,0.0152,2.0E-4,0.0152,0.0152,0.0148
p6,0.0059,0.0156,0.0179,-0.0018,0.0179,0.0151,0.0162
p7,0.0037,0.0178,0.0128,-0.0027,0.013,0.0151,0.0154
p8,0.0134,0.015,0.0153,4.0E-4,0.0153,0.0151,0.0145
p9,0.0105,0.0186,0.0177,-0.0011,0.0177,0.0171,0.0166
p10,0.0088,0.019,0.0151,-0.0014,0.0151,0.0182,0.0139
