Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,45.1265,62.7165,63.5286,4.8838,63.5286,63.1829,63.5381
p2,45.1265,62.7165,63.5286,3.1251,63.5286,63.1829,63.5381
p3,48.8831,68.0554,62.1251,5.2258,62.1251,67.4556,61.352
p4,38.8558,55.6607,56.7437,0.6704,56.7437,58.0652,53.3741
p5,57.2253,58.7879,52.0449,2.351,52.0449,53.3712,51.1257
p6,38.6376,62.7485,65.9132,4.1616,65.9132,56.2676,61.6059
p7,37.5484,68.3644,63.6748,3.1732,63.6718,67.2992,58.6925
p8,408.8902,470.0387,465.2864,22.2427,465.2864,470.9411,452.8045
p9,438.6908,611.474,599.877,9.4533,599.877,561.8657,592.1872
p10,438.9002,647.6745,590.3014,3.619,590.3014,638.0927,580.3857
