Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,192.2323,105.1756,117.536,376.187,117.536,105.7116,113.7208
p2,192.2323,105.1756,117.536,386.7607,117.536,105.7116,113.7208
p3,233.905,110.2662,113.5265,472.2054,113.5265,118.9324,113.0005
p4,1304.4978,1083.1525,1067.7149,1766.0821,1067.7149,1055.9018,1057.7817
p5,1115.2233,1046.9579,1130.4026,1745.0824,1130.4026,1111.5878,1141.9511
p6,741.6387,487.508,451.6008,1137.0633,451.6008,571.7831,475.4816
p7,525.396,251.896,296.1483,857.8007,294.4599,267.7007,209.242
p8,27110.3677,25192.6195,25390.9641,39128.156,25390.9641,25247.755,25317.3898
p9,15702.0021,9830.3749,10218.8547,26271.61,10218.8547,11146.0433,10488.8524
p10,10029.6961,4921.4365,6308.9164,19828.678,6308.9164,5170.5208,6475.7749
