Instance,BestCyclicAssignment,Farthest_First,NearestByCustomer,RandomByElement,Simplified,ThreeCriteriaClustering,UPGMC
p1,0.5487,0.1316,0.1361,15.1582,0.1361,0.1393,0.1394
p2,0.5487,0.1316,0.1361,20.1751,0.1361,0.1393,0.1394
p3,0.5891,0.2046,0.2106,349.2538,0.2106,0.2664,0.2419
p4,1.6786,0.9729,0.9408,131.716,0.9408,0.9092,0.9909
p5,0.9744,0.8904,1.0859,37.1125,1.0859,1.0413,1.1168
p6,1.167,0.4683,0.4065,25.0793,0.4065,0.708,0.5034
p7,1.4559,0.3394,0.4554,105.3249,0.4471,0.3408,0.4973
p8,3.3151,2.6798,2.7285,87.957,2.7285,2.6805,2.7956
p9,3.5398,0.8413,0.8908,331.0617,0.8908,1.0892,0.9587
p10,1.8256,0.6155,0.7778,1439.4255,0.7778,0.6381,1.0323
