Instance,BestNearest,Farthest_First,KMEANS
p1,0.837,0.8055,0.8317
p2,0.837,0.8055,0.8317
p3,0.8203,0.8376,0.8329
p4,1.1256,1.1248,1.1249
p5,1.189,1.0879,1.177
p6,0.8293,0.9431,0.8309
p7,0.9621,0.8046,0.9261
p8,1.1967,1.2075,1.168
p9,0.8454,0.8108,0.8346
p10,0.8928,0.7853,0.874
p11,0.9193,0.8452,0.9053
p12,0.6584,2.4389,0.6584
p15,0.6584,0.6584,0.6584
p18,0.6584,0.6584,0.6773
p21,0.6584,0.6686,0.6773
pr1,0.9202,1.0043,0.812
pr2,1.2015,0.9102,1.0278
pr3,0.8241,0.7851,0.7786
pr4,0.8851,1.0101,0.8756
pr5,1.6702,1.0279,1.222
pr6,0.9121,0.8248,0.8526
pr7,0.9034,0.8527,0.9051
pr8,1.0875,1.0937,1.0094
pr9,1.0278,0.9759,0.9909
pr10,1.9218,1.004,1.7664
