Instance,BestNearest,Farthest_First,KMEANS
p1,1270.5724,1254.331,1245.0179
p2,1270.5724,1254.331,1245.0179
p3,1242.5026,1361.1091,1335.0302
p4,1134.8759,1113.2148,1113.7085
p5,1040.8991,1175.7592,1045.5223
p6,1318.2651,1254.9711,1318.4715
p7,1273.4367,1367.2882,1305.7041
p8,9305.7296,9400.7743,9676.6408
p9,11997.5409,12229.4818,12190.7353
p10,11806.0298,12953.4916,12154.6618
p11,12407.7883,12510.667,12725.9101
p12,12100.0,2304.0,12100.0
p15,16133.3333,16133.3333,16133.3333
p18,26620.0,26620.0,26605.873
p21,36300.0,36376.1679,36286.756
pr1,4885.6509,5662.4292,4740.3589
pr2,3633.2428,5020.6436,4165.7277
pr3,7300.3904,7452.7508,7872.5509
pr4,5169.2642,5590.2691,5227.9864
pr5,2813.8506,3995.5303,3716.0549
pr6,4977.6607,5403.3706,5198.1666
pr7,6131.6505,7029.8562,5587.134
pr8,5620.0163,5975.4822,5929.5571
pr9,6160.2951,6324.1339,6400.8397
pr10,4445.0072,5425.8499,4541.7043
