Instance,BestCyclicAssignment,BestNearest,CLARA,CoefficientPropagation,CyclicAssignment,Farthest_First,KMEANS,NearestByCustomer,NearestByDepot,PAM,Parallel,RandomByElement,RandomSequentialCyclic,SequentialCyclic,Simplified,Sweep,ThreeCriteriaClustering,UPGMC
p1,14.4482,12.2807,12.9469,12.5891,17.4953,12.1015,12.362,12.2807,13.9723,13.1377,12.2807,22.7342,21.1142,22.0808,12.2807,12.2807,12.1031,12.0263
p2,14.4482,12.2807,12.7185,12.5891,17.4953,12.1015,12.362,12.2807,13.9723,13.1377,12.2807,22.4502,19.6666,22.0808,12.2807,12.2807,12.1031,12.0263
p3,15.6974,10.9528,11.854,11.3734,16.1574,11.0364,11.0741,10.9528,13.2418,11.8526,10.9528,23.3528,20.3832,19.4317,10.9528,10.9528,11.4524,10.854
p4,20.4901,18.9608,19.7697,18.9954,22.3839,18.7645,18.7708,18.9608,19.0218,18.5117,18.9608,24.6723,23.8945,25.041,18.9608,18.9608,18.78,19.4927
p5,19.5165,19.1808,19.5038,19.9155,20.1831,18.6528,19.0293,19.1808,19.2453,18.9615,19.1808,24.7308,21.6615,21.9645,19.1808,19.1808,19.4201,18.4353
p6,19.524,14.3895,16.0634,16.1101,20.434,15.6273,14.5208,14.3895,15.7648,14.875,14.3895,24.5701,21.417,20.789,14.3895,14.3895,16.1812,14.7646
p7,17.9151,13.7595,16.0503,16.9112,16.0095,12.3948,13.2679,13.8305,14.3181,14.1086,13.8305,24.471,19.5813,18.7244,13.7595,13.7758,13.3648,12.6995
p8,59.6025,57.7234,60.0239,58.6813,68.1398,58.5393,57.4516,57.7234,57.8045,59.7017,57.7234,74.993,64.7783,60.1145,57.7234,57.7234,58.0247,57.5121
p9,52.9813,44.8632,45.6242,50.2863,53.483,44.2953,44.4183,44.8632,46.8,52.4018,44.8632,74.6973,49.4157,65.0767,44.8632,44.8632,45.8564,45.0422
p10,48.0093,40.8478,41.4951,40.7684,51.1272,37.1562,40.1361,40.8478,41.4493,39.2475,40.8478,74.4635,54.3577,67.0063,40.8478,40.8478,37.7062,40.9195
p11,42.7875,35.9331,39.8128,47.1569,49.3859,33.0599,35.6232,35.4617,38.9484,35.8491,35.4617,74.4981,52.3855,64.408,35.4359,35.5201,33.0544,33.5947
p12,37.9231,36.2132,39.2458,62.6151,45.2328,58.5344,36.2132,36.2132,36.2132,36.3082,36.2132,62.8446,53.8517,58.9282,36.2132,36.2132,36.2132,29.5644
p15,47.0568,36.2132,36.966,60.9208,53.2096,36.2132,36.2132,36.2132,36.2132,36.4581,36.2132,82.0346,65.0344,67.9034,36.2132,36.2132,36.2132,29.7228
p18,49.9394,36.2132,41.0972,68.9979,62.8316,36.2132,36.3238,36.2132,36.2132,36.4622,36.2132,103.9583,68.9924,67.773,36.2132,36.2132,36.2132,29.4694
p21,51.2657,36.2132,48.696,59.6392,73.1358,36.2952,36.3238,36.2132,36.2132,37.1506,36.2132,123.3375,73.0473,72.6093,36.2132,36.2132,36.2132,29.268
pr1,26.7002,22.3295,27.2543,23.8787,32.401,23.7203,22.0108,22.3295,29.8163,24.1023,22.3295,45.2639,35.7176,39.512,22.3295,22.3295,23.7036,21.499
pr2,27.0184,26.3883,28.4414,23.3879,38.4507,24.0073,24.0704,24.3722,27.855,27.9339,24.3722,42.5797,36.6619,37.2902,23.6605,23.514,24.5601,30.4148
pr3,29.5618,27.6872,32.2425,29.2363,39.2938,27.4221,27.5342,27.6872,29.6546,36.3963,27.6872,54.8857,45.8553,52.3129,27.6872,27.6872,27.5224,28.2288
pr4,33.9568,26.2979,31.1201,33.4879,34.6665,27.9914,26.0893,26.2283,28.0929,31.2676,26.2283,48.6086,39.1012,38.0599,25.8871,25.8871,26.5864,25.2327
pr5,32.3422,27.257,30.4696,28.6832,32.5415,25.0559,25.449,25.7357,27.1591,37.5881,25.7357,41.4974,38.3138,38.04,24.1986,24.3438,26.7425,27.329
pr6,37.0545,25.4883,30.4475,26.599,33.1373,24.2112,24.5994,24.7274,25.5608,34.4594,24.7274,48.0242,38.4977,34.2233,23.9803,24.1722,24.0454,27.0392
pr7,26.373,20.6677,22.9955,27.0077,33.9608,20.2356,21.14,21.0533,28.8661,19.8662,21.0533,48.0492,35.6173,34.12,19.8339,19.907,19.3068,20.8222
pr8,30.371,24.4521,26.6024,27.1208,38.6684,23.6006,23.2674,25.0149,25.135,30.3714,25.0149,50.0921,35.3024,29.1254,24.2469,24.1589,23.0515,24.0195
pr9,28.2976,21.7722,26.9922,26.9201,34.6926,22.7272,21.9108,21.6654,25.12,25.6489,21.6654,52.016,34.0268,34.1019,21.474,21.5521,21.8919,21.2924
pr10,39.581,28.8501,29.9062,31.104,35.7202,24.6075,28.6812,27.1097,29.0695,33.4011,27.1097,49.0471,37.9149,39.8292,26.8808,24.6387,26.4406,29.7635
gj1,22.5418,31.7064,31.8476,41.0216,31.6818,32.6261,30.6319,31.7064,35.5399,32.0707,31.7064,40.4449,41.0216,41.0216,31.7064,31.7064,32.6982,20.9981
gj2,29.3381,21.5142,22.7086,18.4064,33.3233,22.1973,22.7429,21.5142,28.0103,22.2306,21.5142,36.6293,37.3039,37.3039,21.5142,21.5142,23.2041,20.4389
gj3,29.1023,27.5378,29.2422,28.2165,30.791,28.0811,27.9994,27.5378,28.8942,25.6017,27.5378,37.9721,38.1549,38.1549,27.5378,27.5378,28.0811,28.318
gj4,21.4607,19.1104,20.0319,16.2075,28.8411,19.9555,19.505,19.1104,26.7604,21.1161,19.1104,38.0066,38.5337,38.5337,19.1104,19.1104,20.4239,16.0941
gj5,18.7944,16.013,17.4516,12.0392,37.7796,16.305,16.2673,16.013,33.724,18.5899,16.013,38.5213,39.0523,39.0523,16.013,16.013,17.048,14.3273
gj6,36.0606,35.7446,31.5537,21.1522,41.1391,31.4172,31.9378,35.7446,40.9713,30.8321,35.7446,42.2959,42.4875,42.4875,35.7446,35.7446,31.7739,20.9533
gj7,23.8605,20.3642,22.5225,20.4036,36.5881,20.2666,19.7239,20.3642,24.9818,20.1009,20.3642,39.3078,39.7547,39.7547,20.3642,20.3642,20.9197,18.7747
gj8,23.7216,18.7213,20.0301,21.8376,31.3605,18.6835,18.6646,18.7213,28.5924,19.7715,18.7213,38.9236,39.0941,39.0941,18.7213,18.7213,18.9452,18.0908
gj9,28.2915,28.7034,28.2669,23.966,36.7733,26.6131,25.9886,28.7034,32.9095,25.777,28.7034,37.2977,37.7685,37.7685,28.7034,28.7034,27.7491,23.829
gj10,24.9802,25.2518,23.9735,25.5797,32.5576,23.4426,24.0659,25.2518,26.8771,22.9044,25.2518,38.9038,39.4572,39.4572,25.2518,25.2518,23.9617,25.7165
gj11,20.9018,18.8706,17.4299,16.4944,21.8899,16.1889,17.5768,18.8706,21.9107,17.7886,18.8706,36.0368,36.9492,36.9492,18.8706,18.8706,16.711,18.362
