Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,0.0496,0.06,0.0402,0.0415,0.0404
p2,0.0496,0.06,0.0402,0.0415,0.0404
p3,0.037,0.0477,0.0418,0.0409,0.0407
p4,0.0558,0.0598,0.0562,0.0562,0.0577
p5,0.0584,0.0617,0.0543,0.0588,0.0605
p6,0.0405,0.0472,0.0471,0.0415,0.0425
p7,0.044,0.0479,0.0402,0.042,0.0492
p8,0.0588,0.0655,0.0603,0.0583,0.0607
p9,0.0405,0.0443,0.0405,0.0405,0.0443
p10,0.0439,0.0433,0.0392,0.0395,0.0433
p11,0.0566,0.062,0.0422,0.0432,0.0954
p12,0.0286,0.0288,0.1219,0.0329,0.0291
p13,0.0286,0.0288,0.1219,0.0329,0.0291
p14,0.0286,0.0288,0.1219,0.0329,0.0291
p15,0.0286,0.0286,0.0329,0.0329,0.0293
p16,0.0286,0.0286,0.0329,0.0329,0.0293
p17,0.0286,0.0286,0.0329,0.0329,0.0293
p18,0.0287,0.0291,0.0329,0.0338,0.03
p19,0.0287,0.0291,0.0329,0.0338,0.03
p20,0.0287,0.0291,0.0329,0.0338,0.03
p21,0.0296,0.0298,0.0334,0.0338,0.03
p22,0.0296,0.0298,0.0334,0.0338,0.03
p23,0.0296,0.0298,0.0334,0.0338,0.03
pr1,0.0402,0.0535,0.0502,0.0406,0.0471
pr2,0.0808,0.0749,0.0455,0.0505,0.0573
pr3,0.0403,0.0664,0.0392,0.0387,0.0426
pr4,0.0435,0.1719,0.0505,0.0437,0.0448
pr5,0.0811,0.0637,0.0513,0.049,0.0764
pr6,0.0416,0.1363,0.0412,0.0408,0.0575
pr7,0.0448,0.0568,0.0426,0.0453,0.0448
pr8,0.2669,0.0969,0.0546,0.0504,0.0766
pr9,0.0493,0.0857,0.0487,0.047,0.1628
pr10,0.071,0.111,0.0502,0.0548,0.1135
