Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,0.0064,0.0035,0.0086,0.0075,0.0103
p2,0.0064,0.0035,0.0086,0.0075,0.0103
p3,0.0068,0.0019,0.0051,0.0054,0.0063
p4,0.0024,0.0024,0.0036,0.0036,0.0052
p5,0.0039,0.0012,0.0046,0.0027,0.0048
p6,0.0033,0.0015,0.0018,0.0039,0.0052
p7,0.0042,0.0014,0.0049,0.0047,0.0067
p8,0.0027,7.0E-4,0.0011,9.0E-4,0.0028
p9,0.0013,3.0E-4,0.0014,0.0014,0.0031
p10,0.0022,2.0E-4,0.0013,0.0019,0.0029
p11,0.0013,1.0E-4,0.0017,0.0024,0.0035
p12,0.0081,0.0049,0.0023,0.0035,0.0074
p13,0.0081,0.0049,0.0023,0.0035,0.0074
p14,0.0081,0.0049,0.0023,0.0035,0.0074
p15,0.0039,0.0039,0.0035,0.0035,0.0101
p16,0.0039,0.0039,0.0035,0.0035,0.0101
p17,0.0039,0.0039,0.0035,0.0035,0.0101
p18,0.0038,0.0038,0.0035,0.0033,0.0101
p19,0.0038,0.0038,0.0035,0.0033,0.0101
p20,0.0038,0.0038,0.0035,0.0033,0.0101
p21,0.0064,0.0023,0.0035,0.0033,0.0098
p22,0.0064,0.0023,0.0035,0.0033,0.0098
p23,0.0064,0.0023,0.0035,0.0033,0.0098
pr1,0.0049,0.0027,0.0043,0.0049,0.0041
pr2,0.0015,7.0E-4,0.0018,0.0015,0.0036
pr3,0.004,0.0018,0.0031,0.0034,0.0034
pr4,0.0012,7.0E-4,9.0E-4,0.0015,0.0035
pr5,3.0E-4,4.0E-4,5.0E-4,4.0E-4,0.0011
pr6,6.0E-4,1.0E-4,9.0E-4,9.0E-4,0.0018
pr7,0.0047,5.0E-4,0.0041,0.0026,0.0047
pr8,0.001,3.0E-4,0.0018,0.0012,0.004
pr9,0.0022,2.0E-4,0.0014,0.0013,0.0027
pr10,2.0E-4,0.0,5.0E-4,5.0E-4,0.002
