Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,0.7909,1.3086,0.5264,0.5231,0.5576
p2,0.7909,1.3086,0.5264,0.5231,0.5576
p3,1.0092,1.2442,1.0231,0.908,1.2096
p4,1.9138,2.1044,1.9459,1.9459,1.9818
p5,2.1488,2.4022,1.7809,2.1488,2.2336
p6,1.1494,1.521,1.405,1.2361,1.5103
p7,1.5296,1.9277,1.3577,1.5334,1.9893
p8,5.2059,6.3679,5.3596,5.1325,5.5912
p9,2.4984,3.0623,2.524,2.5138,2.8761
p10,3.8363,3.4019,2.4622,2.4423,4.1292
p11,6.394,7.8045,3.4173,3.1851,31.879
p12,0.4158,0.4219,7.1788,0.5454,0.4379
p13,0.4158,0.4219,7.1788,0.5454,0.4379
p14,0.4158,0.4219,7.1788,0.5454,0.4379
p15,0.8606,0.8606,1.0909,1.0909,0.9116
p16,0.8606,0.8606,1.0909,1.0909,0.9116
p17,0.8606,0.8606,1.0909,1.0909,0.9116
p18,1.2841,1.354,1.6363,1.7912,1.3649
p19,1.2841,1.354,1.6363,1.7912,1.3649
p20,1.2841,1.354,1.6363,1.7912,1.3649
p21,2.1523,2.1139,2.6477,2.6868,2.165
p22,2.1523,2.1139,2.6477,2.6868,2.165
p23,2.1523,2.1139,2.6477,2.6868,2.165
pr1,0.9681,1.6806,0.8049,1.0183,1.2892
pr2,9.0409,6.2136,1.9316,2.2694,2.8888
pr3,1.7589,5.1769,1.5703,1.5398,2.6061
pr4,2.5432,33.6594,3.0708,2.6054,3.5644
pr5,13.3313,10.7491,6.0714,5.2918,10.0562
pr6,4.1426,34.8896,3.4463,3.4024,8.5907
pr7,1.439,1.7311,1.4126,2.0531,1.439
pr8,237.2366,9.7599,4.2619,2.8982,8.2102
pr9,4.9952,11.2413,4.457,4.6147,113.7098
pr10,12.1935,33.0292,6.7977,7.4809,39.9984
