Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,122.6658,188.0596,105.1756,109.3028,113.7208
p2,122.6658,188.0596,105.1756,109.3028,113.7208
p3,97.9248,131.6674,110.2662,106.5356,113.0005
p4,1047.9634,1081.3152,1083.1525,1083.1525,1057.7817
p5,1120.8614,1166.0407,1046.9579,1123.3599,1141.9511
p6,437.2931,479.1748,487.508,449.2555,475.4816
p7,266.7444,304.8776,251.896,252.4123,209.242
p8,24598.542,26623.4207,25192.6195,24855.0495,25317.3898
p9,9777.1756,10682.9764,9830.3749,9830.8521,10488.8524
p10,6258.2622,6411.6534,4921.4365,4907.319,6475.7749
p11,4099.1222,5127.9828,3442.1879,3330.5903,4554.2506
p12,2556.1517,2581.2609,8270.0,3300.0,2650.5865
p13,2556.1517,2581.2609,8270.0,3300.0,2650.5865
p14,2556.1517,2581.2609,8270.0,3300.0,2650.5865
p15,2536.8251,2536.8251,3300.0,3300.0,2564.8424
p16,2536.8251,2536.8251,3300.0,3300.0,2564.8424
p17,2536.8251,2536.8251,3300.0,3300.0,2564.8424
p18,2520.4394,2532.6931,3300.0,3341.9317,2550.0807
p19,2520.4394,2532.6931,3300.0,3341.9317,2550.0807
p20,2520.4394,2532.6931,3300.0,3341.9317,2550.0807
p21,2536.186,2545.8794,3315.7454,3341.9317,2551.182
p22,2536.186,2545.8794,3315.7454,3341.9317,2551.182
p23,2536.186,2545.8794,3315.7454,3341.9317,2551.182
pr1,420.2533,625.0835,534.4049,436.1208,485.9001
pr2,1090.4171,1688.1903,943.5204,1062.2719,1292.4554
pr3,1795.7869,2676.1098,1780.0897,1758.4749,2025.3969
pr4,2225.6485,3820.6816,2314.0122,2178.395,2403.3464
pr5,3253.7673,3397.4841,2627.7479,2373.3063,3364.3754
pr6,2949.3914,5680.1922,2864.3204,2864.8743,3536.4915
pr7,406.4587,543.5726,347.9358,426.7842,406.4587
pr8,975.3493,1364.1057,878.9039,794.3093,986.5397
pr9,1127.6724,1780.891,1170.3314,1158.041,1784.4589
pr10,2903.3388,3197.8307,1999.6084,2290.8882,2534.1385
