Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,1.9499,1.9499,13.15,102.7999,6.8499
p2,0.45,0.2999,6.95,2.0499,1.6
p3,1.25,0.5999,11.65,10.05,8.8499
p4,0.8499,0.5999,7.9,8.3499,6.2
p5,1.6999,1.9499,15.25,5.8499,3.95
p6,0.9499,0.5999,5.7999,7.15,1.75
p7,0.5,0.4,4.0499,6.45,1.6999
p8,1.6999,1.5,14.4499,10.5999,15.65
p9,3.6,1.75,15.5,17.0,15.8
p10,1.9499,1.0,15.55,27.6,15.1999
p12,0.1499,0.1,0.8,1.1,1.0
p11,2.25,1.55,10.15,117.95,16.3
p14,0.25,0.2,0.75,1.25,1.25
p13,0.1499,0.25,0.75,1.05,1.25
p16,0.8499,0.65,2.0499,3.85,9.25
p15,0.6999,0.45,2.5499,3.35,5.3499
pr10,3.45,0.55,82.75,194.8,22.3
p18,4.4,0.5999,8.55,3.1,25.4499
p17,0.8,0.2999,1.75,2.95,4.9
p19,2.5499,0.5999,9.5,3.2,15.9
p21,7.7999,0.9499,37.1,5.7,57.7999
pr1,0.1,0.05,1.35,0.65,0.45
p20,2.2,0.45,7.0999,3.75,13.4499
p23,7.65,0.9,54.85,6.65,50.35
pr3,0.65,0.2,5.5,3.5,4.7
p22,7.2,0.9,60.75,5.7,39.6
pr2,0.2999,0.05,4.5999,1.85,1.5
pr5,1.6999,0.45,17.85,12.8499,15.65
pr4,1.0,0.25,11.5,7.5999,12.5999
pr7,0.2,0.05,3.0499,2.1,0.8499
pr6,2.2,0.65,15.15,13.5,24.0
pr9,2.2999,0.4,19.3999,12.5999,20.25
pr8,0.8,0.2,6.4,3.1499,5.25
