Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,0.1977,0.3271,0.1316,0.1307,0.1394
p2,0.1977,0.3271,0.1316,0.1307,0.1394
p3,0.2018,0.2488,0.2046,0.1816,0.2419
p4,0.9569,1.0522,0.9729,0.9729,0.9909
p5,1.0744,1.2011,0.8904,1.0744,1.1168
p6,0.3831,0.507,0.4683,0.412,0.5034
p7,0.3824,0.4819,0.3394,0.3833,0.4973
p8,2.6029,3.1839,2.6798,2.5662,2.7956
p9,0.8328,1.0207,0.8413,0.8379,0.9587
p10,0.959,0.8504,0.6155,0.6105,1.0323
p11,1.2788,1.5609,0.6834,0.637,6.3758
p12,0.2079,0.2109,3.5894,0.2727,0.2189
p13,0.2079,0.2109,3.5894,0.2727,0.2189
p14,0.2079,0.2109,3.5894,0.2727,0.2189
p15,0.2151,0.2151,0.2727,0.2727,0.2279
p16,0.2151,0.2151,0.2727,0.2727,0.2279
p17,0.2151,0.2151,0.2727,0.2727,0.2279
p18,0.214,0.2256,0.2727,0.2985,0.2274
p19,0.214,0.2256,0.2727,0.2985,0.2274
p20,0.214,0.2256,0.2727,0.2985,0.2274
p21,0.2391,0.2348,0.2941,0.2985,0.2405
p22,0.2391,0.2348,0.2941,0.2985,0.2405
p23,0.2391,0.2348,0.2941,0.2985,0.2405
pr1,0.242,0.4201,0.2012,0.2545,0.3223
pr2,2.2602,1.5534,0.4829,0.5673,0.7222
pr3,0.4397,1.2942,0.3925,0.3849,0.6515
pr4,0.6358,8.4148,0.7677,0.6513,0.8911
pr5,3.3328,2.6872,1.5178,1.3229,2.514
pr6,1.0356,8.7224,0.8615,0.8506,2.1476
pr7,0.2398,0.2885,0.2354,0.3421,0.2398
pr8,39.5394,1.6266,0.7103,0.483,1.3683
pr9,0.8325,1.8735,0.7428,0.7691,18.9516
pr10,2.0322,5.5048,1.1329,1.2468,6.6664
