Instance,BestNearest,Farthest_First,KMEANS
p1,12.2807,12.1015,12.362
p2,12.2807,12.1015,12.362
p3,10.9528,11.0364,11.0741
p4,18.9608,18.7645,18.7708
p5,19.1808,18.6528,19.0293
p6,14.3895,15.6273,14.5208
p7,13.7595,12.3948,13.2679
p8,57.7234,58.5393,57.4516
p9,44.8632,44.2953,44.4183
p10,40.8478,37.1562,40.1361
p11,35.9331,33.0599,35.6232
p12,36.2132,58.5344,36.2132
p15,36.2132,36.2132,36.2132
p18,36.2132,36.2132,36.3238
p21,36.2132,36.2952,36.3238
pr1,22.3295,23.7203,22.0108
pr2,26.3883,24.0073,24.0704
pr3,27.6872,27.4221,27.5342
pr4,26.2979,27.9914,26.0893
pr5,27.257,25.0559,25.449
pr6,25.4883,24.2112,24.5994
pr7,20.6677,20.2356,21.14
pr8,24.4521,23.6006,23.2674
pr9,21.7722,22.7272,21.9108
pr10,28.8501,24.6075,28.6812
