Instance,BestNearest,Farthest_First,KMEANS
p1,146.9529,171.4308,162.6418
p2,146.9529,171.4308,162.6418
p3,303.3023,314.8573,317.3869
p4,129.7367,125.0941,125.2489
p5,111.6726,136.1947,113.6015
p6,235.6385,207.566,237.6283
p7,257.6733,322.8422,277.5495
p8,280.7363,286.8359,297.1857
p9,589.6036,627.4859,602.0308
p10,704.2563,994.9001,765.2364
p11,980.9375,1106.3392,1000.7874
p12,286.0,20.3724,286.0
p15,762.6666,762.6666,762.6666
p18,1887.5999,1887.5999,1860.3927
p21,3861.0,3840.7901,3807.6008
pr1,149.1603,115.9241,155.2699
pr2,171.3703,261.8168,215.7391
pr3,500.5367,528.1091,533.8635
pr4,540.5967,508.8563,553.4177
pr5,302.1844,508.465,485.7074
pr6,788.6709,992.1226,913.8234
pr7,276.0064,353.1709,272.6212
pr8,525.291,550.0743,626.2943
pr9,1028.7048,1027.393,1030.5905
pr10,518.3637,892.9721,539.1916
