Instance,BestNearest,Farthest_First,KMEANS
p1,0.1451,0.1723,0.1504
p2,0.1451,0.1723,0.1504
p3,0.097,0.1021,0.1003
p4,0.0621,0.072,0.0717
p5,0.0817,0.0923,0.0553
p6,0.0791,0.036,0.0791
p7,0.0235,0.0981,0.07
p8,0.0278,0.023,0.0183
p9,0.0183,0.0296,0.0248
p10,0.032,0.0275,0.0294
p11,0.0192,0.0352,0.0167
p12,0.0707,0.0463,0.0707
p15,0.0707,0.0707,0.0707
p18,0.0707,0.0707,0.0672
p21,0.0707,0.0707,0.0672
pr1,0.0999,0.0865,0.0999
pr2,0.023,0.0363,0.0307
pr3,0.0427,0.0622,0.065
pr4,0.0305,0.0189,0.0291
pr5,0.0087,0.0115,0.0123
pr6,0.0181,0.0195,0.0188
pr7,0.0534,0.083,0.0541
pr8,0.0749,0.0375,0.0251
pr9,0.024,0.0284,0.0273
pr10,0.011,0.0107,0.008
