Instance,BestNearest,Farthest_First,KMEANS
p1,0.3067,0.3461,0.3235
p2,0.3067,0.3461,0.3235
p3,0.305,0.3381,0.3338
p4,0.3262,0.3297,0.3293
p5,0.305,0.3403,0.3086
p6,0.3586,0.3136,0.3602
p7,0.2604,0.356,0.2973
p8,0.3062,0.3018,0.3169
p9,0.3554,0.3723,0.3608
p10,0.3039,0.3806,0.319
p11,0.2911,0.3447,0.296
p12,0.5083,0.1026,0.5083
p15,0.4464,0.4464,0.4464
p18,0.4288,0.4288,0.4212
p21,0.4145,0.4108,0.4063
pr1,0.3269,0.3097,0.2953
pr2,0.2613,0.2991,0.291
pr3,0.3625,0.3909,0.3973
pr4,0.3264,0.3136,0.3341
pr5,0.2613,0.2504,0.2729
pr6,0.3267,0.3615,0.3461
pr7,0.3218,0.3381,0.2854
pr8,0.2462,0.2525,0.2786
pr9,0.2837,0.2812,0.2879
pr10,0.191,0.2284,0.1809
