Instance,BestNearest,Farthest_First,KMEANS
p1,31.35,91.5,40.35
p2,0.2,95.2,45.85
p3,0.3499,159.8499,125.7999
p4,0.3499,123.45,120.7999
p5,0.55,115.5,116.0499
p6,0.3499,175.3499,81.5499
p7,0.5,190.8,144.9499
p8,0.8499,570.8999,305.0
p9,0.75,532.25,275.1
p10,1.1,762.5,291.9499
p12,0.3499,48.45,69.75
p11,1.25,395.8,312.1
p15,0.55,91.0,112.65
pr10,1.55,2718.4499,307.85
p18,1.1,276.05,87.95
p21,2.75,1514.3499,188.6999
pr1,0.25,110.2999,43.45
pr3,0.5,245.9,156.1999
pr2,0.4,241.5999,112.95
pr5,0.9,790.5,232.1999
pr4,0.5999,348.05,220.9499
pr7,0.2999,178.25,114.15
pr6,1.35,565.7999,334.5
pr9,1.0,372.05,275.9499
pr8,0.5999,292.3,148.3
