Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,0.6262,0.6388,0.605,0.6181,0.6004
p2,0.6262,0.6388,0.605,0.6181,0.6004
p3,0.5043,0.589,0.5518,0.5525,0.5378
p4,0.9236,0.9589,0.9382,0.9382,0.9437
p5,0.9435,0.9625,0.9326,0.9514,0.9682
p6,0.7223,0.7727,0.7813,0.726,0.7314
p7,0.6416,0.6787,0.6197,0.6208,0.6254
p8,2.8617,2.9959,2.9269,2.8724,2.8892
p9,2.1831,2.2316,2.2147,2.2134,2.2445
p10,1.9896,1.948,1.8578,1.8505,1.9885
p11,1.8325,1.9752,1.6529,1.7066,1.9473
p12,1.5879,1.5936,2.9267,1.8106,1.606
p13,1.5879,1.5936,2.9267,1.8106,1.606
p14,1.5879,1.5936,2.9267,1.8106,1.606
p15,1.5774,1.5774,1.8106,1.8106,1.5816
p16,1.5774,1.5774,1.8106,1.8106,1.5816
p17,1.5774,1.5774,1.8106,1.8106,1.5816
p18,1.5728,1.5795,1.8106,1.8161,1.5823
p19,1.5728,1.5795,1.8106,1.8161,1.5823
p20,1.5728,1.5795,1.8106,1.8161,1.5823
p21,1.5749,1.577,1.8147,1.8161,1.577
p22,1.5749,1.577,1.8147,1.8161,1.577
p23,1.5749,1.577,1.8147,1.8161,1.577
pr1,1.0998,1.2797,1.186,1.1005,1.1489
pr2,1.2541,1.4345,1.2003,1.1931,1.278
pr3,1.3818,1.7455,1.3711,1.3751,1.3848
pr4,1.3008,1.9846,1.3995,1.3025,1.2758
pr5,1.3401,1.3887,1.2527,1.2205,1.2946
pr6,1.2146,1.878,1.2105,1.2037,1.3373
pr7,1.0299,1.0875,1.0117,1.0595,1.0299
pr8,1.3047,1.5429,1.18,1.1633,1.1867
pr9,1.0697,1.4418,1.1363,1.0945,1.232
pr10,1.3787,1.5686,1.2303,1.2841,1.3774
