Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,6.6408,3.2652,8.5715,8.132,7.4044
p2,6.6408,3.2652,8.5715,8.132,7.4044
p3,17.3739,11.8002,15.7428,16.4473,14.4723
p4,6.3084,5.8115,6.2547,6.2547,6.1589
p5,5.6915,5.0912,6.8097,5.68,5.4054
p6,11.9971,10.3126,10.3783,11.8814,10.4492
p7,15.0151,12.3365,16.1421,16.096,15.3412
p8,14.5938,11.6053,14.3417,14.872,13.4781
p9,30.7259,26.5563,31.3742,31.3718,27.3892
p10,34.6113,33.3925,49.745,49.9351,32.9002
p11,43.242,31.5063,55.3169,57.6814,37.3966
p12,18.7431,18.4849,1.0186,14.3,17.7974
p13,18.7431,18.4849,1.0186,14.3,17.7974
p14,18.7431,18.4849,1.0186,14.3,17.7974
p15,50.3196,50.3196,38.1333,38.1333,49.6563
p16,50.3196,50.3196,38.1333,38.1333,49.6563
p17,50.3196,50.3196,38.1333,38.1333,49.6563
p18,125.0624,124.3894,94.3799,93.0196,123.4455
p19,125.0624,124.3894,94.3799,93.0196,123.4455
p20,125.0624,124.3894,94.3799,93.0196,123.4455
p21,252.9004,251.8624,192.0395,190.38,251.2978
p22,252.9004,251.8624,192.0395,190.38,251.2978
p23,252.9004,251.8624,192.0395,190.38,251.2978
pr1,7.9741,4.3999,5.7962,7.7634,6.5004
pr2,10.4013,4.5465,13.0908,10.9417,7.8165
pr3,25.9965,14.3745,26.4054,26.8447,21.9913
pr4,27.046,10.5227,25.4428,27.807,24.1196
pr5,17.1056,15.7165,25.4232,29.8356,16.026
pr6,46.2769,14.9265,49.6061,49.5928,35.4512
pr7,14.8558,10.1096,17.6585,13.6645,14.8558
pr8,23.8594,14.7,27.5037,31.3147,23.4948
pr9,52.8178,28.823,51.3696,52.0485,28.7402
pr10,25.5192,21.6109,44.6486,36.8203,23.7748
