Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,0.0135,0.0075,0.0173,0.0161,0.0154
p2,0.0135,0.0075,0.0173,0.0161,0.0154
p3,0.0186,0.0132,0.0169,0.0174,0.0147
p4,0.0164,0.0153,0.0164,0.0164,0.0155
p5,0.0153,0.0143,0.017,0.0154,0.0148
p6,0.018,0.0162,0.0156,0.018,0.0162
p7,0.0163,0.0142,0.0178,0.0177,0.0154
p8,0.0158,0.0138,0.015,0.0158,0.0145
p9,0.0184,0.0163,0.0186,0.0186,0.0166
p10,0.0148,0.0141,0.019,0.0191,0.0139
p11,0.0145,0.0104,0.0172,0.0167,0.0118
p12,0.0283,0.0281,0.0051,0.0254,0.0277
p13,0.0283,0.0281,0.0051,0.0254,0.0277
p14,0.0283,0.0281,0.0051,0.0254,0.0277
p15,0.0259,0.0259,0.0223,0.0223,0.0258
p16,0.0259,0.0259,0.0223,0.0223,0.0258
p17,0.0259,0.0259,0.0223,0.0223,0.0258
p18,0.0253,0.0251,0.0214,0.021,0.025
p19,0.0253,0.0251,0.0214,0.021,0.025
p20,0.0253,0.0251,0.0214,0.021,0.025
p21,0.0246,0.0245,0.0205,0.0203,0.0245
p22,0.0246,0.0245,0.0205,0.0203,0.0245
p23,0.0246,0.0245,0.0205,0.0203,0.0245
pr1,0.0149,0.0103,0.0154,0.0147,0.0141
pr2,0.0139,0.003,0.0149,0.0146,0.0099
pr3,0.0193,0.014,0.0195,0.0199,0.0161
pr4,0.0165,0.009,0.0156,0.0167,0.0143
pr5,0.0127,0.008,0.0125,0.0139,0.0129
pr6,0.0176,0.008,0.018,0.018,0.0133
pr7,0.0167,0.0132,0.0169,0.0144,0.0167
pr8,0.0127,0.0074,0.0126,0.0139,0.0125
pr9,0.0142,0.008,0.014,0.0146,0.0077
pr10,0.0091,0.0049,0.0114,0.0108,0.0056
