Instance,CURE,DBSCAN,Farthest_First,KMEANS,UPGMC
p1,60.1751,62.9702,62.7165,62.2508,63.5381
p2,60.1751,62.9702,62.7165,62.2508,63.5381
p3,67.1543,61.479,68.0554,68.8621,61.352
p4,54.7559,51.3815,55.6607,55.6607,53.3741
p5,52.1601,48.54,58.7879,52.2761,51.1257
p6,65.4912,62.4015,62.7485,65.9235,61.6059
p7,67.8089,63.4583,68.3644,68.5273,58.6925
p8,472.5093,418.0878,470.0387,484.2605,452.8045
p9,617.6604,609.4235,611.474,612.8394,592.1872
p10,568.0376,572.3387,647.6745,657.3489,580.3857
p11,574.8074,544.7798,625.5333,653.2793,576.4016
p12,614.6193,611.7243,115.2,605.0,605.17
p13,614.6193,611.7243,115.2,605.0,605.17
p14,614.6193,611.7243,115.2,605.0,605.17
p15,819.9182,819.9182,806.6666,806.6666,818.9501
p16,819.9182,819.9182,806.6666,806.6666,818.9501
p17,819.9182,819.9182,806.6666,806.6666,818.9501
p18,1360.3087,1347.0076,1331.0,1330.2936,1336.7808
p19,1360.3087,1347.0076,1331.0,1330.2936,1336.7808
p20,1360.3087,1347.0076,1331.0,1330.2936,1336.7808
p21,1852.1525,1844.9798,1818.8083,1814.3378,1852.3112
p22,1852.1525,1844.9798,1818.8083,1814.3378,1852.3112
p23,1852.1525,1844.9798,1818.8083,1814.3378,1852.3112
pr1,238.7256,248.8352,283.1214,237.0179,232.8176
pr2,194.3656,221.8327,251.0321,210.2965,167.0893
pr3,385.0,282.7239,372.6375,395.1065,338.4532
pr4,256.113,139.7434,279.5134,261.6958,233.3094
pr5,146.8028,162.8268,199.7765,214.3108,154.9859
pr6,255.265,141.303,270.1685,268.4646,243.3523
pr7,312.0321,295.6368,351.4928,279.9103,312.0321
pr8,268.7896,239.5369,298.7741,296.4778,262.099
pr9,302.2289,305.4499,316.2066,326.5239,258.1898
pr10,226.3942,213.6274,271.2924,260.611,194.7372
